# x, y, corr
0.0000 0.0000 0.0234
0.1000 0.0000 0.0205
0.2000 0.0000 0.0413
0.3000 0.0000 0.0689
0.4000 0.0000 0.0822
0.5000 0.0000 0.0457
0.6000 0.0000 0.0315
0.7000 0.0000 0.0077
0.8000 0.0000 -0.0104
0.9000 0.0000 0.0046
1.0000 0.0000 0.0406
1.1000 0.0000 0.0577
1.2000 0.0000 0.1216
1.3000 0.0000 0.1899
1.4000 0.0000 0.1620
1.5000 0.0000 0.1055
1.6000 0.0000 0.0548
1.7000 0.0000 0.0362
1.8000 0.0000 -0.0251
1.9000 0.0000 -0.0662
2.0000 0.0000 -0.1082
2.1000 0.0000 -0.0510
2.2000 0.0000 -0.0304
2.3000 0.0000 0.0195
2.4000 0.0000 0.0139
2.5000 0.0000 -0.0131
2.6000 0.0000 0.0114
2.7000 0.0000 0.0093
2.8000 0.0000 -0.0126
2.9000 0.0000 -0.0632
3.0000 0.0000 -0.0833
3.1000 0.0000 -0.0791
3.2000 0.0000 -0.0507
3.3000 0.0000 -0.0735
3.4000 0.0000 -0.0841
3.5000 0.0000 -0.1034
3.6000 0.0000 -0.1147
3.7000 0.0000 -0.1577
3.8000 0.0000 -0.1673
3.9000 0.0000 -0.1410
4.0000 0.0000 -0.1053
4.1000 0.0000 -0.0462
4.2000 0.0000 -0.0044
4.3000 0.0000 0.0530
4.4000 0.0000 0.0979
4.5000 0.0000 0.0749
4.6000 0.0000 0.0819
4.7000 0.0000 0.0788
4.8000 0.0000 0.0453
4.9000 0.0000 0.0372
0.0000 0.1000 0.0528
0.1000 0.1000 0.0505
0.2000 0.1000 0.0475
0.3000 0.1000 0.0448
0.4000 0.1000 0.0778
0.5000 0.1000 0.0439
0.6000 0.1000 0.0353
0.7000 0.1000 0.0267
0.8000 0.1000 0.0207
0.9000 0.1000 0.0415
1.0000 0.1000 0.0486
1.1000 0.1000 0.0644
1.2000 0.1000 0.0636
1.3000 0.1000 0.1146
1.4000 0.1000 0.1001
1.5000 0.1000 0.0865
1.6000 0.1000 0.0460
1.7000 0.1000 0.0465
1.8000 0.1000 -0.0021
1.9000 0.1000 -0.0432
2.0000 0.1000 -0.0524
2.1000 0.1000 0.0181
2.2000 0.1000 0.0174
2.3000 0.1000 0.0193
2.4000 0.1000 0.0037
2.5000 0.1000 0.0032
2.6000 0.1000 -0.0033
2.7000 0.1000 -0.0117
2.8000 0.1000 -0.0037
2.9000 0.1000 -0.0308
3.0000 0.1000 -0.0410
3.1000 0.1000 -0.0159
3.2000 0.1000 -0.0058
