# x, y, corr
0.0000 0.0000 0.0185
0.1000 0.0000 0.0649
0.2000 0.0000 0.0569
0.3000 0.0000 0.0791
0.4000 0.0000 0.0791
0.5000 0.0000 0.0797
0.6000 0.0000 0.0492
0.7000 0.0000 0.0020
0.8000 0.0000 -0.0224
0.9000 0.0000 -0.0145
1.0000 0.0000 -0.0237
1.1000 0.0000 -0.0097
1.2000 0.0000 -0.0143
1.3000 0.0000 -0.0217
1.4000 0.0000 -0.0645
1.5000 0.0000 -0.0915
1.6000 0.0000 -0.1387
1.7000 0.0000 -0.1389
1.8000 0.0000 -0.1403
1.9000 0.0000 -0.1589
2.0000 0.0000 -0.1488
2.1000 0.0000 -0.1304
2.2000 0.0000 -0.1330
2.3000 0.0000 -0.0976
2.4000 0.0000 -0.0722
2.5000 0.0000 -0.0581
2.6000 0.0000 -0.0371
2.7000 0.0000 -0.0352
2.8000 0.0000 -0.0193
2.9000 0.0000 -0.0636
3.0000 0.0000 -0.0669
3.1000 0.0000 -0.0497
3.2000 0.0000 -0.1081
3.3000 0.0000 -0.0963
3.4000 0.0000 -0.0691
3.5000 0.0000 -0.0446
3.6000 0.0000 -0.0694
3.7000 0.0000 -0.0814
3.8000 0.0000 -0.0812
3.9000 0.0000 -0.1004
4.0000 0.0000 -0.1216
4.1000 0.0000 -0.1542
4.2000 0.0000 -0.1399
4.3000 0.0000 -0.0578
4.4000 0.0000 -0.0512
4.5000 0.0000 -0.0357
4.6000 0.0000 -0.0349
4.7000 0.0000 -0.0306
4.8000 0.0000 0.0026
4.9000 0.0000 0.0041
0.0000 0.1000 0.0313
0.1000 0.1000 0.0684
0.2000 0.1000 0.0211
0.3000 0.1000 0.0092
0.4000 0.1000 0.0033
0.5000 0.1000 0.0478
0.6000 0.1000 0.0417
0.7000 0.1000 -0.0011
0.8000 0.1000 -0.0395
0.9000 0.1000 -0.0200
1.0000 0.1000 -0.0312
1.1000 0.1000 -0.0156
1.2000 0.1000 -0.0163
1.3000 0.1000 -0.0165
1.4000 0.1000 -0.0488
1.5000 0.1000 -0.0988
1.6000 0.1000 -0.1359
1.7000 0.1000 -0.1300
1.8000 0.1000 -0.1489
1.9000 0.1000 -0.1507
2.0000 0.1000 -0.1098
2.1000 0.1000 -0.0772
2.2000 0.1000 -0.0922
2.3000 0.1000 -0.0711
2.4000 0.1000 -0.0310
2.5000 0.1000 0.0084
2.6000 0.1000 -0.0029
2.7000 0.1000 -0.0110
2.8000 0.1000 -0.0149
2.9000 0.1000 -0.0205
3.0000 0.1000 -0.0062
3.1000 0.1000 -0.0403
3.2000 0.1000 -0.1075
3.3000 0.1000 -0.0883
3.4000 0.1000 -0.0471
3.5000 0.1000 -0.0749
3.6000 0.1000 -0.0696
3.7000 0.1000 -0.0705
3.8000 0.1000 -0.0782
3.9000 0.1000 -0.0884
4.0000 0.1000 -0.1174
4.1000 0.1000 -0.1647
4.2000 0.1000 -0.1425
4.3000 0.1000 -0.0649
4.4000 0.1000 -0.0456
4.5000 0.1000 -0.0346
4.6000 0.1000 -0.0187
4.7000 0.1000 -0.0361
4.8000 0.1000 -0.0187
4.9000 0.1000 0.0029
0.0000 0.2000 -0.0103
0.1000 0.2000 0.0072
0.2000 0.2000 -0.0200
0.3000 0.2000 -0.0374
0.4000 0.2000 -0.0286
0.5000 0.2000 0.0294
0.6000 0.2000 0.0101
0.7000 0.2000 0.0114
0.8000 0.2000 -0.0092
0.9000 0.2000 -0.0285
1.0000 0.2000 -0.0421
1.1000 0.2000 -0.0245
1.2000 0.2000 -0.0503
1.3000 0.2000 -0.0622
1.4000 0.2000 -0.0473
1.5000 0.2000 -0.0429
1.6000 0.2000 -0.0456
1.7000 0.2000 -0.0885
1.8000 0.2000 -0.1037
1.9000 0.2000 -0.1074
2.0000 0.2000 -0.0545
2.1000 0.2000 -0.0396
2.2000 0.2000 -0.0566
2.3000 0.2000 -0.0285
2.4000 0.2000 0.0183
2.5000 0.2000 0.0507
2.6000 0.2000 0.0525
2.7000 0.2000 0.0059
2.8000 0.2000 -0.0066
2.9000 0.2000 -0.0198
3.0000 0.2000 0.0030
3.1000 0.2000 -0.0465
3.2000 0.2000 -0.0679
3.3000 0.2000 -0.0586
3.4000 0.2000 -0.0207
3.5000 0.2000 -0.0221
3.6000 0.2000 -0.0180
3.7000 0.2000 -0.0138
3.8000 0.2000 -0.0504
3.9000 0.2000 -0.1119
4.0000 0.2000 -0.1000
4.1000 0.2000 -0.1069
4.2000 0.2000 -0.0963
4.3000 0.2000 -0.0522
4.4000 0.2000 -0.0397
4.5000 0.2000 -0.0099
4.6000 0.2000 -0.0410
4.7000 0.2000 -0.0754
4.8000 0.2000 -0.0373
4.9000 0.2000 -0.0150
0.0000 0.3000 -0.0545
0.1000 0.3000 -0.0379
0.2000 0.3000 -0.0419
0.3000 0.3000 -0.0399
0.4000 0.3000 -0.0176
