# x, y, corr
0.0000 0.0000 0.0550
0.1000 0.0000 0.0788
0.2000 0.0000 0.0647
0.3000 0.0000 0.0652
0.4000 0.0000 0.1041
0.5000 0.0000 0.0862
0.6000 0.0000 0.0288
0.7000 0.0000 0.0058
0.8000 0.0000 -0.0188
0.9000 0.0000 -0.0141
1.0000 0.0000 0.0200
1.1000 0.0000 0.0407
1.2000 0.0000 0.0421
1.3000 0.0000 0.0458
1.4000 0.0000 0.0723
1.5000 0.0000 0.0956
1.6000 0.0000 0.1272
1.7000 0.0000 0.1212
1.8000 0.0000 0.0825
1.9000 0.0000 0.1040
2.0000 0.0000 0.1053
2.1000 0.0000 0.1477
2.2000 0.0000 0.1519
2.3000 0.0000 0.1447
2.4000 0.0000 0.1170
2.5000 0.0000 0.1040
2.6000 0.0000 0.1092
2.7000 0.0000 0.1078
2.8000 0.0000 0.1077
2.9000 0.0000 0.1161
3.0000 0.0000 0.0841
3.1000 0.0000 0.0679
3.2000 0.0000 -0.0040
3.3000 0.0000 -0.0519
3.4000 0.0000 -0.0699
3.5000 0.0000 -0.0862
3.6000 0.0000 -0.0674
3.7000 0.0000 -0.0481
3.8000 0.0000 -0.0270
3.9000 0.0000 0.0382
4.0000 0.0000 0.0415
4.1000 0.0000 0.0590
4.2000 0.0000 0.0622
4.3000 0.0000 0.0681
4.4000 0.0000 0.0745
4.5000 0.0000 0.0338
4.6000 0.0000 0.0004
4.7000 0.0000 -0.0214
4.8000 0.0000 0.0010
4.9000 0.0000 0.0445
0.0000 0.1000 0.0033
0.1000 0.1000 0.0329
0.2000 0.1000 0.0060
0.3000 0.1000 0.0011
0.4000 0.1000 0.0644
0.5000 0.1000 0.0946
0.6000 0.1000 0.0563
0.7000 0.1000 0.0329
0.8000 0.1000 -0.0040
0.9000 0.1000 -0.0242
1.0000 0.1000 0.0020
1.1000 0.1000 0.0344
1.2000 0.1000 0.0750
1.3000 0.1000 0.0850
1.4000 0.1000 0.0997
1.5000 0.1000 0.1164
1.6000 0.1000 0.1472
1.7000 0.1000 0.1109
1.8000 0.1000 0.0930
1.9000 0.1000 0.0854
2.0000 0.1000 0.1277
2.1000 0.1000 0.1573
2.2000 0.1000 0.1505
2.3000 0.1000 0.1509
2.4000 0.1000 0.1562
2.5000 0.1000 0.1518
2.6000 0.1000 0.1549
2.7000 0.1000 0.1310
2.8000 0.1000 0.1142
2.9000 0.1000 0.0813
3.0000 0.1000 0.0850
3.1000 0.1000 0.0707
3.2000 0.1000 -0.0370
3.3000 0.1000 -0.0724
3.4000 0.1000 -0.0526
3.5000 0.1000 -0.0151
3.6000 0.1000 0.0074
3.7000 0.1000 0.0361
3.8000 0.1000 0.0685
3.9000 0.1000 0.1018
4.0000 0.1000 0.0788
4.1000 0.1000 0.0558
4.2000 0.1000 0.0459
4.3000 0.1000 0.0844
4.4000 0.1000 0.0474
4.5000 0.1000 0.0100
4.6000 0.1000 -0.0142
4.7000 0.1000 -0.0181
4.8000 0.1000 -0.0141
4.9000 0.1000 0.0066
0.0000 0.2000 0.0420
0.1000 0.2000 0.0240
0.2000 0.2000 0.0178
0.3000 0.2000 -0.0185
0.4000 0.2000 0.0102
0.5000 0.2000 0.0474
0.6000 0.2000 0.0720
0.7000 0.2000 0.0669
0.8000 0.2000 0.0533
0.9000 0.2000 0.0130
1.0000 0.2000 0.0048
1.1000 0.2000 0.0510
1.2000 0.2000 0.0570
1.3000 0.2000 0.0805
1.4000 0.2000 0.1481
1.5000 0.2000 0.1280
1.6000 0.2000 0.1193
1.7000 0.2000 0.0898
1.8000 0.2000 0.0854
1.9000 0.2000 0.0857
2.0000 0.2000 0.1006
2.1000 0.2000 0.1275
2.2000 0.2000 0.1618
2.3000 0.2000 0.1414
2.4000 0.2000 0.1428
2.5000 0.2000 0.1460
2.6000 0.2000 0.1401
2.7000 0.2000 0.1010
2.8000 0.2000 0.0732
2.9000 0.2000 0.0725
3.0000 0.2000 0.0657
3.1000 0.2000 0.0426
3.2000 0.2000 -0.0185
3.3000 0.2000 -0.0631
3.4000 0.2000 -0.0330
3.5000 0.2000 0.0539
3.6000 0.2000 0.0875
3.7000 0.2000 0.1124
3.8000 0.2000 0.1207
3.9000 0.2000 0.1494
4.0000 0.2000 0.0992
4.1000 0.2000 0.0747
4.2000 0.2000 0.0685
4.3000 0.2000 0.1023
4.4000 0.2000 0.0719
4.5000 0.2000 0.0037
4.6000 0.2000 0.0071
4.7000 0.2000 -0.0108
4.8000 0.2000 -0.0160
4.9000 0.2000 0.0182
0.0000 0.3000 0.0959
0.1000 0.3000 0.0625
0.2000 0.3000 0.0222
0.3000 0.3000 -0.0017
0.4000 0.3000 -0.0077
0.5000 0.3000 0.0288
0.6000 0.3000 0.0570
0.7000 0.3000 0.0565
0.8000 0.3000 0.0154
0.9000 0.3000 -0.0362
1.0000 0.3000 0.0345
1.1000 0.3000 0.0826
1.2000 0.3000 0.0463
1.3000 0.3000 0.0631
1.4000 0.3000 0.1418
1.5000 0.3000 0.1609
1.6000 0.3000 0.1490
1.7000 0.3000 0.1012
1.8000 0.3000 0.0663
1.9000 0.3000 0.0706
2.0000 0.3000 0.0583
2.1000 0.3000 0.1058
2.2000 0.3000 0.1334
2.3000 0.3000 0.1469
2.4000 0.3000 0.1659
2.5000 0.3000 0.1525
2.6000 0.3000 0.1521
2.7000 0.3000 0.0855
2.8000 0.3000 0.0596
2.9000 0.3000 0.0539
3.0000 0.3000 0.0429
3.1000 0.3000 0.0164
3.2000 0.3000 -0.0151
3.3000 0.3000 0.0174
3.4000 0.3000 0.0318
3.5000 0.3000 0.0855
3.6000 0.3000 0.1188
3.7000 0.3000 0.1319
3.8000 0.3000 0.1130
3.9000 0.3000 0.1181
4.0000 0.3000 0.1075
4.1000 0.3000 0.0716
4.2000 0.3000 0.0479
4.3000 0.3000 0.0421
4.4000 0.3000 0.0637
4.5000 0.3000 0.0328
4.6000 0.3000 -0.0043
4.7000 0.3000 -0.0085
4.8000 0.3000 0.0087
4.9000 0.3000 0.0829
0.0000 0.4000 0.1065
0.1000 0.4000 0.0764
0.2000 0.4000 0.0280
0.3000 0.4000 0.0095
0.4000 0.4000 0.0252
0.5000 0.4000 0.0365
0.6000 0.4000 0.0670
0.7000 0.4000 0.0415
0.8000 0.4000 0.0002
0.9000 0.4000 -0.0323
1.0000 0.4000 0.0003
1.1000 0.4000 0.0668
1.2000 0.4000 0.0674
1.3000 0.4000 0.0442
1.4000 0.4000 0.0786
1.5000 0.4000 0.1435
1.6000 0.4000 0.1539
1.7000 0.4000 0.1126
1.8000 0.4000 0.0930
1.9000 0.4000 0.1044
2.0000 0.4000 0.0757
2.1000 0.4000 0.0876
2.2000 0.4000 0.1327
2.3000 0.4000 0.1684
2.4000 0.4000 0.1931
2.5000 0.4000 0.1744
2.6000 0.4000 0.1641
2.7000 0.4000 0.1152
2.8000 0.4000 0.0510
2.9000 0.4000 0.0231
3.0000 0.4000 0.0242
3.1000 0.4000 0.0248
3.2000 0.4000 0.0451
3.3000 0.4000 0.0407
3.4000 0.4000 0.0371
3.5000 0.4000 0.0806
3.6000 0.4000 0.0891
3.7000 0.4000 0.1061
3.8000 0.4000 0.0885
3.9000 0.4000 0.0968
4.0000 0.4000 0.0893
4.1000 0.4000 0.0581
4.2000 0.4000 0.0325
4.3000 0.4000 0.0492
4.4000 0.4000 0.0759
4.5000 0.4000 0.0551
4.6000 0.4000 0.0233
4.7000 0.4000 0.0029
4.8000 0.4000 -0.0020
4.9000 0.4000 0.0755
0.0000 0.5000 0.1347
0.1000 0.5000 0.1183
0.2000 0.5000 0.0760
0.3000 0.5000 0.0485
0.4000 0.5000 0.0526
0.5000 0.5000 0.0945
0.6000 0.5000 0.0698
0.7000 0.5000 0.0346
0.8000 0.5000 -0.0417
0.9000 0.5000 -0.0619
1.0000 0.5000 -0.0348
1.1000 0.5000 0.0252
1.2000 0.5000 0.0594
1.3000 0.5000 0.0558
1.4000 0.5000 0.0899
1.5000 0.5000 0.1378
1.6000 0.5000 0.1410
1.7000 0.5000 0.1033
1.8000 0.5000 0.1076
1.9000 0.5000 0.1332
2.0000 0.5000 0.1199
2.1000 0.5000 0.1267
2.2000 0.5000 0.1923
2.3000 0.5000 0.2054
2.4000 0.5000 0.2028
2.5000 0.5000 0.2046
2.6000 0.5000 0.1630
2.7000 0.5000 0.0905
2.8000 0.5000 0.0416
2.9000 0.5000 0.0302
3.0000 0.5000 0.0240
3.1000 0.5000 0.0501
3.2000 0.5000 0.0795
3.3000 0.5000 0.1094
3.4000 0.5000 0.0803
3.5000 0.5000 0.0678
3.6000 0.5000 0.0764
3.7000 0.5000 0.0618
3.8000 0.5000 0.0628
3.9000 0.5000 0.0765
4.0000 0.5000 0.0835
4.1000 0.5000 0.0952
4.2000 0.5000 0.0550
4.3000 0.5000 0.0997
4.4000 0.5000 0.1029
4.5000 0.5000 0.0729
4.6000 0.5000 0.0643
4.7000 0.5000 0.0567
4.8000 0.5000 0.0677
4.9000 0.5000 0.0891
0.0000 0.6000 0.1350
0.1000 0.6000 0.1229
0.2000 0.6000 0.0899
0.3000 0.6000 0.0832
0.4000 0.6000 0.0912
0.5000 0.6000 0.0905
0.6000 0.6000 0.0822
0.7000 0.6000 0.0343
0.8000 0.6000 -0.0337
0.9000 0.6000 -0.0455
1.0000 0.6000 -0.0176
1.1000 0.6000 0.0091
1.2000 0.6000 0.0364
1.3000 0.6000 0.0621
1.4000 0.6000 0.1078
1.5000 0.6000 0.1145
1.6000 0.6000 0.0916
1.7000 0.6000 0.0875
1.8000 0.6000 0.0961
1.9000 0.6000 0.1531
2.0000 0.6000 0.1806
2.1000 0.6000 0.1912
2.2000 0.6000 0.2135
2.3000 0.6000 0.2242
2.4000 0.6000 0.2216
2.5000 0.6000 0.2035
2.6000 0.6000 0.1607
2.7000 0.6000 0.1090
2.8000 0.6000 0.0775
2.9000 0.6000 0.0870
3.0000 0.6000 0.0399
3.1000 0.6000 0.0297
3.2000 0.6000 0.0547
3.3000 0.6000 0.1156
3.4000 0.6000 0.1383
3.5000 0.6000 0.1041
3.6000 0.6000 0.0759
3.7000 0.6000 0.0430
3.8000 0.6000 0.0610
3.9000 0.6000 0.0647
4.0000 0.6000 0.1096
4.1000 0.6000 0.1459
4.2000 0.6000 0.1483
4.3000 0.6000 0.1466
4.4000 0.6000 0.1292
4.5000 0.6000 0.0852
4.6000 0.6000 0.0859
4.7000 0.6000 0.0794
4.8000 0.6000 0.1026
4.9000 0.6000 0.1332
0.0000 0.7000 0.1482
0.1000 0.7000 0.0957
0.2000 0.7000 0.0703
0.3000 0.7000 0.0892
0.4000 0.7000 0.0723
0.5000 0.7000 0.0896
0.6000 0.7000 0.0724
0.7000 0.7000 0.0450
0.8000 0.7000 -0.0366
0.9000 0.7000 -0.0428
1.0000 0.7000 -0.0307
1.1000 0.7000 -0.0028
1.2000 0.7000 0.0141
1.3000 0.7000 0.0258
1.4000 0.7000 0.0337
1.5000 0.7000 0.0898
1.6000 0.7000 0.1169
1.7000 0.7000 0.1008
1.8000 0.7000 0.1297
1.9000 0.7000 0.2166
2.0000 0.7000 0.2424
2.1000 0.7000 0.2780
2.2000 0.7000 0.2890
2.3000 0.7000 0.2801
2.4000 0.7000 0.2500
2.5000 0.7000 0.2280
2.6000 0.7000 0.1970
2.7000 0.7000 0.1617
2.8000 0.7000 0.1293
2.9000 0.7000 0.1200
3.0000 0.7000 0.0871
3.1000 0.7000 0.0560
3.2000 0.7000 0.0719
3.3000 0.7000 0.1206
3.4000 0.7000 0.1290
3.5000 0.7000 0.1069
3.6000 0.7000 0.0814
3.7000 0.7000 0.0732
3.8000 0.7000 0.0818
3.9000 0.7000 0.0935
4.0000 0.7000 0.1235
4.1000 0.7000 0.1689
4.2000 0.7000 0.1685
4.3000 0.7000 0.1697
4.4000 0.7000 0.1130
4.5000 0.7000 0.0889
4.6000 0.7000 0.0764
4.7000 0.7000 0.0808
4.8000 0.7000 0.0986
4.9000 0.7000 0.1425
0.0000 0.8000 0.1158
0.1000 0.8000 0.0880
0.2000 0.8000 0.0504
0.3000 0.8000 0.0740
0.4000 0.8000 0.0656
0.5000 0.8000 0.0582
0.6000 0.8000 0.0677
0.7000 0.8000 0.0448
0.8000 0.8000 -0.0097
0.9000 0.8000 -0.0231
1.0000 0.8000 -0.0074
1.1000 0.8000 -0.0141
1.2000 0.8000 -0.0222
1.3000 0.8000 0.0251
1.4000 0.8000 0.0323
1.5000 0.8000 0.0875
1.6000 0.8000 0.1382
1.7000 0.8000 0.1656
1.8000 0.8000 0.1820
1.9000 0.8000 0.2433
2.0000 0.8000 0.2949
2.1000 0.8000 0.3352
2.2000 0.8000 0.3321
2.3000 0.8000 0.3540
2.4000 0.8000 0.3358
2.5000 0.8000 0.2779
2.6000 0.8000 0.2562
2.7000 0.8000 0.2350
2.8000 0.8000 0.1984
2.9000 0.8000 0.1146
3.0000 0.8000 0.1162
3.1000 0.8000 0.1327
3.2000 0.8000 0.1053
3.3000 0.8000 0.0855
3.4000 0.8000 0.0476
3.5000 0.8000 0.0559
3.6000 0.8000 0.0447
3.7000 0.8000 0.0415
3.8000 0.8000 0.0700
3.9000 0.8000 0.1156
4.0000 0.8000 0.1512
4.1000 0.8000 0.1815
4.2000 0.8000 0.1933
4.3000 0.8000 0.1811
4.4000 0.8000 0.1404
4.5000 0.8000 0.1094
4.6000 0.8000 0.1005
4.7000 0.8000 0.1108
4.8000 0.8000 0.1141
4.9000 0.8000 0.0913
0.0000 0.9000 0.1106
0.1000 0.9000 0.1034
0.2000 0.9000 0.0788
0.3000 0.9000 0.0738
0.4000 0.9000 0.0815
0.5000 0.9000 0.0556
0.6000 0.9000 0.0340
0.7000 0.9000 0.0222
0.8000 0.9000 0.0122
0.9000 0.9000 -0.0096
1.0000 0.9000 -0.0238
1.1000 0.9000 -0.0239
1.2000 0.9000 -0.0384
1.3000 0.9000 0.0253
1.4000 0.9000 0.0646
1.5000 0.9000 0.0730
1.6000 0.9000 0.0834
1.7000 0.9000 0.1333
1.8000 0.9000 0.1684
1.9000 0.9000 0.2082
2.0000 0.9000 0.2652
2.1000 0.9000 0.3287
2.2000 0.9000 0.3900
2.3000 0.9000 0.4140
2.4000 0.9000 0.3876
2.5000 0.9000 0.3452
2.6000 0.9000 0.3022
2.7000 0.9000 0.2884
2.8000 0.9000 0.2271
2.9000 0.9000 0.1499
3.0000 0.9000 0.1720
3.1000 0.9000 0.1927
3.2000 0.9000 0.1528
3.3000 0.9000 0.0845
3.4000 0.9000 0.0019
3.5000 0.9000 0.0143
3.6000 0.9000 0.0364
3.7000 0.9000 0.0101
3.8000 0.9000 0.0296
3.9000 0.9000 0.0732
4.0000 0.9000 0.1106
4.1000 0.9000 0.1457
4.2000 0.9000 0.1880
4.3000 0.9000 0.1781
4.4000 0.9000 0.1354
4.5000 0.9000 0.0805
4.6000 0.9000 0.1013
4.7000 0.9000 0.1318
4.8000 0.9000 0.1130
4.9000 0.9000 0.0792
0.0000 1.0000 0.1269
0.1000 1.0000 0.1442
0.2000 1.0000 0.1331
0.3000 1.0000 0.1095
0.4000 1.0000 0.0651
0.5000 1.0000 0.0640
0.6000 1.0000 0.0228
0.7000 1.0000 0.0108
0.8000 1.0000 0.0427
0.9000 1.0000 0.0530
1.0000 1.0000 0.0394
1.1000 1.0000 0.0212
1.2000 1.0000 -0.0100
1.3000 1.0000 0.0355
1.4000 1.0000 0.0604
1.5000 1.0000 0.0552
1.6000 1.0000 0.0359
1.7000 1.0000 0.1002
1.8000 1.0000 0.1465
1.9000 1.0000 0.2081
2.0000 1.0000 0.2757
2.1000 1.0000 0.3134
2.2000 1.0000 0.3729
2.3000 1.0000 0.4012
2.4000 1.0000 0.4010
2.5000 1.0000 0.3344
2.6000 1.0000 0.2979
2.7000 1.0000 0.2888
2.8000 1.0000 0.2148
2.9000 1.0000 0.1748
3.0000 1.0000 0.1620
3.1000 1.0000 0.1720
3.2000 1.0000 0.1131
3.3000 1.0000 0.0617
3.4000 1.0000 0.0047
3.5000 1.0000 0.0117
3.6000 1.0000 0.0464
3.7000 1.0000 0.0568
3.8000 1.0000 0.0669
3.9000 1.0000 0.0680
4.0000 1.0000 0.0967
4.1000 1.0000 0.1425
4.2000 1.0000 0.1578
4.3000 1.0000 0.1416
4.4000 1.0000 0.0763
4.5000 1.0000 0.0479
4.6000 1.0000 0.0928
4.7000 1.0000 0.0951
4.8000 1.0000 0.1142
4.9000 1.0000 0.1111
0.0000 1.1000 0.1481
0.1000 1.1000 0.1534
0.2000 1.1000 0.1740
0.3000 1.1000 0.1543
0.4000 1.1000 0.1336
0.5000 1.1000 0.1201
0.6000 1.1000 0.0450
0.7000 1.1000 0.0026
0.8000 1.1000 0.0688
0.9000 1.1000 0.1299
1.0000 1.1000 0.0982
1.1000 1.1000 0.0746
1.2000 1.1000 0.0429
1.3000 1.1000 0.0724
1.4000 1.1000 0.0985
1.5000 1.1000 0.0693
1.6000 1.1000 0.0344
1.7000 1.1000 0.0811
1.8000 1.1000 0.1486
1.9000 1.1000 0.2004
2.0000 1.1000 0.2426
2.1000 1.1000 0.2970
2.2000 1.1000 0.3534
2.3000 1.1000 0.3614
2.4000 1.1000 0.3620
2.5000 1.1000 0.3403
2.6000 1.1000 0.3068
2.7000 1.1000 0.2769
2.8000 1.1000 0.2257
2.9000 1.1000 0.1904
3.0000 1.1000 0.1527
3.1000 1.1000 0.1506
3.2000 1.1000 0.0823
3.3000 1.1000 0.0411
3.4000 1.1000 0.0248
3.5000 1.1000 -0.0106
3.6000 1.1000 0.0656
3.7000 1.1000 0.0724
3.8000 1.1000 0.0760
3.9000 1.1000 0.0726
4.0000 1.1000 0.0952
4.1000 1.1000 0.1009
4.2000 1.1000 0.0770
4.3000 1.1000 0.0937
4.4000 1.1000 0.0622
4.5000 1.1000 0.0350
4.6000 1.1000 0.0422
4.7000 1.1000 0.0856
4.8000 1.1000 0.1244
4.9000 1.1000 0.1255
0.0000 1.2000 0.1315
0.1000 1.2000 0.1573
0.2000 1.2000 0.1530
0.3000 1.2000 0.1428
0.4000 1.2000 0.1451
0.5000 1.2000 0.1121
0.6000 1.2000 0.0397
0.7000 1.2000 0.0332
0.8000 1.2000 0.0871
0.9000 1.2000 0.1422
1.0000 1.2000 0.1322
1.1000 1.2000 0.1048
1.2000 1.2000 0.1092
1.3000 1.2000 0.0906
1.4000 1.2000 0.0959
1.5000 1.2000 0.0872
1.6000 1.2000 0.0732
1.7000 1.2000 0.1050
1.8000 1.2000 0.1340
1.9000 1.2000 0.1628
2.0000 1.2000 0.2180
2.1000 1.2000 0.3086
2.2000 1.2000 0.3474
2.3000 1.2000 0.3311
2.4000 1.2000 0.3202
2.5000 1.2000 0.3083
2.6000 1.2000 0.2560
2.7000 1.2000 0.2489
2.8000 1.2000 0.2087
2.9000 1.2000 0.1964
3.0000 1.2000 0.1507
3.1000 1.2000 0.1237
3.2000 1.2000 0.0896
3.3000 1.2000 0.0479
3.4000 1.2000 0.0233
3.5000 1.2000 0.0017
3.6000 1.2000 0.0223
3.7000 1.2000 0.0715
3.8000 1.2000 0.0865
3.9000 1.2000 0.0508
4.0000 1.2000 0.0506
4.1000 1.2000 0.0468
4.2000 1.2000 0.0299
4.3000 1.2000 0.0483
4.4000 1.2000 0.0420
4.5000 1.2000 0.0070
4.6000 1.2000 -0.0384
4.7000 1.2000 0.0140
4.8000 1.2000 0.0805
4.9000 1.2000 0.1254
0.0000 1.3000 0.1229
0.1000 1.3000 0.1440
0.2000 1.3000 0.1092
0.3000 1.3000 0.0809
0.4000 1.3000 0.1095
0.5000 1.3000 0.0677
0.6000 1.3000 0.0495
0.7000 1.3000 0.0699
0.8000 1.3000 0.0924
0.9000 1.3000 0.1412
1.0000 1.3000 0.1219
1.1000 1.3000 0.1077
1.2000 1.3000 0.1218
1.3000 1.3000 0.0948
1.4000 1.3000 0.0930
1.5000 1.3000 0.1121
1.6000 1.3000 0.1091
1.7000 1.3000 0.1120
1.8000 1.3000 0.1094
1.9000 1.3000 0.1559
2.0000 1.3000 0.2261
2.1000 1.3000 0.2980
2.2000 1.3000 0.3022
2.3000 1.3000 0.2883
2.4000 1.3000 0.2780
2.5000 1.3000 0.2638
2.6000 1.3000 0.2322
2.7000 1.3000 0.2185
2.8000 1.3000 0.1868
2.9000 1.3000 0.1291
3.0000 1.3000 0.1278
3.1000 1.3000 0.0880
3.2000 1.3000 0.0584
3.3000 1.3000 0.0518
3.4000 1.3000 0.0412
3.5000 1.3000 0.0375
3.6000 1.3000 0.0911
3.7000 1.3000 0.1528
3.8000 1.3000 0.1308
3.9000 1.3000 0.0519
4.0000 1.3000 0.0373
4.1000 1.3000 0.0503
4.2000 1.3000 0.0534
4.3000 1.3000 0.0419
4.4000 1.3000 -0.0117
4.5000 1.3000 -0.0107
4.6000 1.3000 -0.0176
4.7000 1.3000 -0.0097
4.8000 1.3000 0.0404
4.9000 1.3000 0.0854
0.0000 1.4000 0.0552
0.1000 1.4000 0.0737
0.2000 1.4000 0.0513
0.3000 1.4000 0.0448
0.4000 1.4000 0.0583
0.5000 1.4000 0.0679
0.6000 1.4000 0.0807
0.7000 1.4000 0.1257
0.8000 1.4000 0.1238
0.9000 1.4000 0.1211
1.0000 1.4000 0.0688
1.1000 1.4000 0.0560
1.2000 1.4000 0.0707
1.3000 1.4000 0.0609
1.4000 1.4000 0.0780
1.5000 1.4000 0.1129
1.6000 1.4000 0.0964
1.7000 1.4000 0.0950
1.8000 1.4000 0.1406
1.9000 1.4000 0.2062
2.0000 1.4000 0.2655
2.1000 1.4000 0.2905
2.2000 1.4000 0.2879
2.3000 1.4000 0.2562
2.4000 1.4000 0.2296
2.5000 1.4000 0.2592
2.6000 1.4000 0.2553
2.7000 1.4000 0.2095
2.8000 1.4000 0.1702
2.9000 1.4000 0.1509
3.0000 1.4000 0.1486
3.1000 1.4000 0.1119
3.2000 1.4000 0.0585
3.3000 1.4000 0.0376
3.4000 1.4000 0.0582
3.5000 1.4000 0.0722
3.6000 1.4000 0.1362
3.7000 1.4000 0.1471
3.8000 1.4000 0.1358
3.9000 1.4000 0.0893
4.0000 1.4000 0.0154
4.1000 1.4000 0.0227
4.2000 1.4000 0.0637
4.3000 1.4000 0.0211
4.4000 1.4000 -0.0188
4.5000 1.4000 -0.0195
4.6000 1.4000 0.0148
4.7000 1.4000 0.0019
4.8000 1.4000 0.0430
4.9000 1.4000 0.0452
0.0000 1.5000 -0.0080
0.1000 1.5000 -0.0130
0.2000 1.5000 0.0329
0.3000 1.5000 0.0465
0.4000 1.5000 0.0561
0.5000 1.5000 0.0443
0.6000 1.5000 0.1049
