# x, y, corr
0.0000 0.0000 0.0000
0.1000 0.0000 0.0000
0.2000 0.0000 0.0000
0.3000 0.0000 0.0001
0.4000 0.0000 0.0001
0.5000 0.0000 0.0000
0.6000 0.0000 0.0000
0.7000 0.0000 0.0000
0.8000 0.0000 -0.0000
0.9000 0.0000 -0.0001
1.0000 0.0000 -0.0002
1.1000 0.0000 -0.0003
1.2000 0.0000 -0.0005
1.3000 0.0000 -0.0008
1.4000 0.0000 -0.0012
1.5000 0.0000 -0.0018
1.6000 0.0000 -0.0023
1.7000 0.0000 -0.0029
1.8000 0.0000 -0.0035
1.9000 0.0000 -0.0041
2.0000 0.0000 -0.0045
2.1000 0.0000 -0.0048
2.2000 0.0000 -0.0049
2.3000 0.0000 -0.0047
2.4000 0.0000 -0.0043
2.5000 0.0000 -0.0038
2.6000 0.0000 -0.0032
2.7000 0.0000 -0.0026
2.8000 0.0000 -0.0022
2.9000 0.0000 -0.0020
3.0000 0.0000 -0.0021
3.1000 0.0000 -0.0024
3.2000 0.0000 -0.0028
3.3000 0.0000 -0.0033
3.4000 0.0000 -0.0038
3.5000 0.0000 -0.0041
3.6000 0.0000 -0.0043
3.7000 0.0000 -0.0042
3.8000 0.0000 -0.0039
3.9000 0.0000 -0.0035
4.0000 0.0000 -0.0030
4.1000 0.0000 -0.0025
4.2000 0.0000 -0.0020
4.3000 0.0000 -0.0015
4.4000 0.0000 -0.0010
4.5000 0.0000 -0.0007
4.6000 0.0000 -0.0004
4.7000 0.0000 -0.0002
4.8000 0.0000 -0.0001
4.9000 0.0000 -0.0000
0.0000 0.1000 0.0000
0.1000 0.1000 0.0000
0.2000 0.1000 0.0000
0.3000 0.1000 0.0001
0.4000 0.1000 0.0001
0.5000 0.1000 0.0000
0.6000 0.1000 0.0000
0.7000 0.1000 0.0000
0.8000 0.1000 0.0000
0.9000 0.1000 -0.0000
1.0000 0.1000 -0.0001
1.1000 0.1000 -0.0003
1.2000 0.1000 -0.0005
1.3000 0.1000 -0.0008
1.4000 0.1000 -0.0012
1.5000 0.1000 -0.0017
1.6000 0.1000 -0.0022
1.7000 0.1000 -0.0028
1.8000 0.1000 -0.0034
1.9000 0.1000 -0.0039
2.0000 0.1000 -0.0043
2.1000 0.1000 -0.0046
2.2000 0.1000 -0.0048
2.3000 0.1000 -0.0047
2.4000 0.1000 -0.0045
2.5000 0.1000 -0.0041
2.6000 0.1000 -0.0036
2.7000 0.1000 -0.0032
2.8000 0.1000 -0.0029
2.9000 0.1000 -0.0027
3.0000 0.1000 -0.0027
3.1000 0.1000 -0.0028
3.2000 0.1000 -0.0031
3.3000 0.1000 -0.0034
3.4000 0.1000 -0.0037
3.5000 0.1000 -0.0040
3.6000 0.1000 -0.0040
3.7000 0.1000 -0.0039
3.8000 0.1000 -0.0037
3.9000 0.1000 -0.0033
4.0000 0.1000 -0.0029
4.1000 0.1000 -0.0024
4.2000 0.1000 -0.0019
4.3000 0.1000 -0.0014
4.4000 0.1000 -0.0010
4.5000 0.1000 -0.0007
4.6000 0.1000 -0.0004
4.7000 0.1000 -0.0002
4.8000 0.1000 -0.0001
4.9000 0.1000 -0.0000
0.0000 0.2000 0.0000
0.1000 0.2000 0.0000
0.2000 0.2000 0.0000
0.3000 0.2000 0.0001
0.4000 0.2000 0.0001
0.5000 0.2000 0.0000
0.6000 0.2000 0.0000
0.7000 0.2000 0.0000
0.8000 0.2000 0.0000
0.9000 0.2000 -0.0000
1.0000 0.2000 -0.0001
1.1000 0.2000 -0.0003
1.2000 0.2000 -0.0005
1.3000 0.2000 -0.0008
1.4000 0.2000 -0.0012
1.5000 0.2000 -0.0017
1.6000 0.2000 -0.0022
1.7000 0.2000 -0.0028
1.8000 0.2000 -0.0034
1.9000 0.2000 -0.0039
2.0000 0.2000 -0.0043
2.1000 0.2000 -0.0046
2.2000 0.2000 -0.0047
2.3000 0.2000 -0.0046
2.4000 0.2000 -0.0043
2.5000 0.2000 -0.0038
2.6000 0.2000 -0.0033
2.7000 0.2000 -0.0028
2.8000 0.2000 -0.0024
2.9000 0.2000 -0.0022
3.0000 0.2000 -0.0022
3.1000 0.2000 -0.0023
3.2000 0.2000 -0.0026
3.3000 0.2000 -0.0030
3.4000 0.2000 -0.0034
3.5000 0.2000 -0.0037
3.6000 0.2000 -0.0038
3.7000 0.2000 -0.0038
3.8000 0.2000 -0.0036
3.9000 0.2000 -0.0033
4.0000 0.2000 -0.0029
4.1000 0.2000 -0.0024
4.2000 0.2000 -0.0019
4.3000 0.2000 -0.0014
4.4000 0.2000 -0.0010
4.5000 0.2000 -0.0007
4.6000 0.2000 -0.0004
4.7000 0.2000 -0.0002
4.8000 0.2000 -0.0001
4.9000 0.2000 -0.0000
0.0000 0.3000 -0.0000
0.1000 0.3000 0.0000
0.2000 0.3000 0.0000
0.3000 0.3000 0.0000
0.4000 0.3000 0.0000
0.5000 0.3000 0.0000
0.6000 0.3000 0.0000
0.7000 0.3000 0.0000
0.8000 0.3000 -0.0000
0.9000 0.3000 -0.0001
1.0000 0.3000 -0.0001
1.1000 0.3000 -0.0003
1.2000 0.3000 -0.0005
1.3000 0.3000 -0.0008
1.4000 0.3000 -0.0012
1.5000 0.3000 -0.0017
1.6000 0.3000 -0.0023
1.7000 0.3000 -0.0029
1.8000 0.3000 -0.0035
1.9000 0.3000 -0.0040
2.0000 0.3000 -0.0044
2.1000 0.3000 -0.0047
2.2000 0.3000 -0.0046
