# x, y, corr
0.0000 0.0000 -0.0719
0.1000 0.0000 -0.0491
0.2000 0.0000 0.0024
0.3000 0.0000 0.1023
0.4000 0.0000 0.1802
0.5000 0.0000 0.1868
0.6000 0.0000 0.1725
0.7000 0.0000 0.1531
0.8000 0.0000 0.1247
0.9000 0.0000 0.1647
1.0000 0.0000 0.1838
1.1000 0.0000 0.1849
1.2000 0.0000 0.1117
1.3000 0.0000 0.0690
1.4000 0.0000 0.0765
1.5000 0.0000 0.0946
1.6000 0.0000 0.0925
1.7000 0.0000 0.0759
1.8000 0.0000 0.0635
1.9000 0.0000 0.0900
2.0000 0.0000 0.1080
2.1000 0.0000 0.0602
2.2000 0.0000 0.0187
2.3000 0.0000 0.0313
2.4000 0.0000 0.0489
2.5000 0.0000 0.0708
2.6000 0.0000 0.0747
2.7000 0.0000 0.0601
2.8000 0.0000 0.0872
2.9000 0.0000 0.1214
3.0000 0.0000 0.1136
3.1000 0.0000 0.0606
3.2000 0.0000 0.0273
3.3000 0.0000 0.0268
3.4000 0.0000 0.0498
3.5000 0.0000 0.0106
3.6000 0.0000 -0.0531
3.7000 0.0000 -0.1100
3.8000 0.0000 -0.0901
3.9000 0.0000 -0.0561
4.0000 0.0000 -0.0390
4.1000 0.0000 -0.0237
4.2000 0.0000 0.0036
4.3000 0.0000 0.0491
4.4000 0.0000 0.0607
4.5000 0.0000 0.0510
4.6000 0.0000 0.0145
4.7000 0.0000 0.0055
4.8000 0.0000 0.0177
4.9000 0.0000 -0.0257
0.0000 0.1000 -0.0379
0.1000 0.1000 -0.0288
0.2000 0.1000 0.0113
0.3000 0.1000 0.1075
0.4000 0.1000 0.1461
0.5000 0.1000 0.1602
0.6000 0.1000 0.1900
0.7000 0.1000 0.1707
0.8000 0.1000 0.1623
0.9000 0.1000 0.2048
1.0000 0.1000 0.1769
1.1000 0.1000 0.1542
1.2000 0.1000 0.0992
1.3000 0.1000 0.0270
1.4000 0.1000 0.0503
1.5000 0.1000 0.0778
1.6000 0.1000 0.0612
1.7000 0.1000 0.0350
1.8000 0.1000 0.0583
1.9000 0.1000 0.1257
2.0000 0.1000 0.1140
2.1000 0.1000 0.0769
2.2000 0.1000 0.0740
2.3000 0.1000 0.0099
2.4000 0.1000 0.0395
2.5000 0.1000 0.0804
2.6000 0.1000 0.0741
2.7000 0.1000 0.0574
2.8000 0.1000 0.0442
2.9000 0.1000 0.0573
3.0000 0.1000 0.0603
3.1000 0.1000 0.0363
3.2000 0.1000 0.0150
3.3000 0.1000 0.0145
3.4000 0.1000 0.0119
3.5000 0.1000 -0.0367
3.6000 0.1000 -0.0853
3.7000 0.1000 -0.1082
3.8000 0.1000 -0.0685
3.9000 0.1000 -0.0328
4.0000 0.1000 0.0059
4.1000 0.1000 0.0040
4.2000 0.1000 0.0746
4.3000 0.1000 0.1035
4.4000 0.1000 0.1047
4.5000 0.1000 0.0720
4.6000 0.1000 0.0202
4.7000 0.1000 -0.0080
4.8000 0.1000 0.0010
4.9000 0.1000 -0.0249
0.0000 0.2000 -0.0028
0.1000 0.2000 0.0061
0.2000 0.2000 0.0661
0.3000 0.2000 0.1253
0.4000 0.2000 0.1372
0.5000 0.2000 0.1474
0.6000 0.2000 0.1801
0.7000 0.2000 0.1696
0.8000 0.2000 0.1735
0.9000 0.2000 0.1870
1.0000 0.2000 0.1873
1.1000 0.2000 0.1785
1.2000 0.2000 0.1067
1.3000 0.2000 0.0271
1.4000 0.2000 0.0020
1.5000 0.2000 0.0326
1.6000 0.2000 0.0448
1.7000 0.2000 0.0706
1.8000 0.2000 0.1199
1.9000 0.2000 0.1435
2.0000 0.2000 0.1335
2.1000 0.2000 0.1146
2.2000 0.2000 0.0828
2.3000 0.2000 0.0271
2.4000 0.2000 0.0758
2.5000 0.2000 0.1265
2.6000 0.2000 0.0958
2.7000 0.2000 0.0667
2.8000 0.2000 0.0264
2.9000 0.2000 0.0316
3.0000 0.2000 0.0276
3.1000 0.2000 0.0175
3.2000 0.2000 -0.0027
3.3000 0.2000 -0.0393
3.4000 0.2000 -0.0494
3.5000 0.2000 -0.0801
3.6000 0.2000 -0.0663
3.7000 0.2000 -0.0744
3.8000 0.2000 -0.0458
3.9000 0.2000 -0.0295
4.0000 0.2000 0.0161
4.1000 0.2000 0.0347
4.2000 0.2000 0.0831
4.3000 0.2000 0.1151
4.4000 0.2000 0.1049
4.5000 0.2000 0.0817
4.6000 0.2000 0.0329
4.7000 0.2000 0.0267
4.8000 0.2000 -0.0071
4.9000 0.2000 -0.0277
0.0000 0.3000 -0.0166
0.1000 0.3000 0.0382
0.2000 0.3000 0.0919
0.3000 0.3000 0.1408
0.4000 0.3000 0.1477
0.5000 0.3000 0.1483
0.6000 0.3000 0.1184
0.7000 0.3000 0.1507
0.8000 0.3000 0.1629
0.9000 0.3000 0.1613
1.0000 0.3000 0.2032
1.1000 0.3000 0.2201
1.2000 0.3000 0.1464
1.3000 0.3000 0.0631
1.4000 0.3000 0.0433
1.5000 0.3000 0.0606
1.6000 0.3000 0.0742
1.7000 0.3000 0.1354
1.8000 0.3000 0.2062
1.9000 0.3000 0.2061
2.0000 0.3000 0.1833
2.1000 0.3000 0.1606
2.2000 0.3000 0.1212
2.3000 0.3000 0.0809
2.4000 0.3000 0.0593
2.5000 0.3000 0.0939
2.6000 0.3000 0.1001
2.7000 0.3000 0.0753
2.8000 0.3000 0.0548
2.9000 0.3000 0.0349
3.0000 0.3000 0.0515
3.1000 0.3000 0.0531
3.2000 0.3000 0.0091
3.3000 0.3000 -0.0475
3.4000 0.3000 -0.0513
3.5000 0.3000 -0.0569
3.6000 0.3000 -0.0357
3.7000 0.3000 -0.0426
3.8000 0.3000 -0.0149
3.9000 0.3000 -0.0013
4.0000 0.3000 0.0309
4.1000 0.3000 0.0519
4.2000 0.3000 0.0720
4.3000 0.3000 0.1232
4.4000 0.3000 0.1355
4.5000 0.3000 0.0626
4.6000 0.3000 0.0229
4.7000 0.3000 -0.0061
4.8000 0.3000 -0.0160
4.9000 0.3000 -0.0455
0.0000 0.4000 -0.0229
0.1000 0.4000 0.0251
0.2000 0.4000 0.1030
0.3000 0.4000 0.1505
0.4000 0.4000 0.1475
0.5000 0.4000 0.0910
0.6000 0.4000 0.0828
0.7000 0.4000 0.1177
0.8000 0.4000 0.1186
0.9000 0.4000 0.1536
1.0000 0.4000 0.2134
1.1000 0.4000 0.2116
1.2000 0.4000 0.1365
1.3000 0.4000 0.1007
1.4000 0.4000 0.0826
1.5000 0.4000 0.1100
1.6000 0.4000 0.1533
1.7000 0.4000 0.2003
1.8000 0.4000 0.2706
1.9000 0.4000 0.2881
2.0000 0.4000 0.2588
2.1000 0.4000 0.2374
2.2000 0.4000 0.2170
2.3000 0.4000 0.1597
2.4000 0.4000 0.1521
2.5000 0.4000 0.1460
2.6000 0.4000 0.1138
2.7000 0.4000 0.0592
2.8000 0.4000 0.0247
2.9000 0.4000 0.0269
3.0000 0.4000 0.0431
3.1000 0.4000 0.0950
3.2000 0.4000 0.0926
3.3000 0.4000 -0.0135
3.4000 0.4000 -0.0521
3.5000 0.4000 -0.0420
3.6000 0.4000 -0.0224
3.7000 0.4000 -0.0344
3.8000 0.4000 -0.0402
3.9000 0.4000 -0.0056
4.0000 0.4000 0.0273
4.1000 0.4000 0.0440
4.2000 0.4000 0.0538
4.3000 0.4000 0.0919
4.4000 0.4000 0.1242
4.5000 0.4000 0.0586
4.6000 0.4000 0.0055
4.7000 0.4000 -0.0278
4.8000 0.4000 -0.0332
4.9000 0.4000 -0.0450
0.0000 0.5000 -0.0250
0.1000 0.5000 0.0343
0.2000 0.5000 0.1005
0.3000 0.5000 0.1589
0.4000 0.5000 0.1277
0.5000 0.5000 0.0690
0.6000 0.5000 0.0409
0.7000 0.5000 0.0517
0.8000 0.5000 0.0773
0.9000 0.5000 0.1172
1.0000 0.5000 0.1690
1.1000 0.5000 0.1935
1.2000 0.5000 0.1881
1.3000 0.5000 0.1531
1.4000 0.5000 0.1497
1.5000 0.5000 0.1729
1.6000 0.5000 0.2091
1.7000 0.5000 0.2179
1.8000 0.5000 0.2690
1.9000 0.5000 0.2869
2.0000 0.5000 0.2660
2.1000 0.5000 0.2675
2.2000 0.5000 0.2498
2.3000 0.5000 0.2321
2.4000 0.5000 0.2448
2.5000 0.5000 0.2250
2.6000 0.5000 0.2045
2.7000 0.5000 0.0984
2.8000 0.5000 0.0592
2.9000 0.5000 0.0871
3.0000 0.5000 0.0795
3.1000 0.5000 0.1094
3.2000 0.5000 0.1265
3.3000 0.5000 0.0392
3.4000 0.5000 -0.0174
3.5000 0.5000 -0.0171
3.6000 0.5000 0.0174
3.7000 0.5000 0.0266
3.8000 0.5000 0.0071
3.9000 0.5000 -0.0073
4.0000 0.5000 0.0007
4.1000 0.5000 0.0222
4.2000 0.5000 0.0303
4.3000 0.5000 0.0367
4.4000 0.5000 0.0891
4.5000 0.5000 0.0885
4.6000 0.5000 0.0192
4.7000 0.5000 -0.0290
4.8000 0.5000 -0.0350
4.9000 0.5000 -0.0171
0.0000 0.6000 -0.0015
0.1000 0.6000 0.0361
0.2000 0.6000 0.1168
0.3000 0.6000 0.1543
0.4000 0.6000 0.1428
0.5000 0.6000 0.0570
0.6000 0.6000 0.0177
0.7000 0.6000 0.0170
0.8000 0.6000 0.0665
0.9000 0.6000 0.1129
1.0000 0.6000 0.1475
1.1000 0.6000 0.1983
1.2000 0.6000 0.2022
1.3000 0.6000 0.2145
1.4000 0.6000 0.2037
1.5000 0.6000 0.2107
1.6000 0.6000 0.2238
1.7000 0.6000 0.2223
1.8000 0.6000 0.2402
1.9000 0.6000 0.2601
2.0000 0.6000 0.2917
2.1000 0.6000 0.2826
2.2000 0.6000 0.2790
2.3000 0.6000 0.2821
2.4000 0.6000 0.2478
2.5000 0.6000 0.2596
2.6000 0.6000 0.2411
2.7000 0.6000 0.1913
2.8000 0.6000 0.1688
2.9000 0.6000 0.1503
3.0000 0.6000 0.1145
3.1000 0.6000 0.1323
3.2000 0.6000 0.1288
3.3000 0.6000 0.0676
3.4000 0.6000 0.0272
3.5000 0.6000 0.0118
3.6000 0.6000 0.0227
3.7000 0.6000 0.0648
3.8000 0.6000 0.0530
3.9000 0.6000 0.0044
4.0000 0.6000 -0.0028
4.1000 0.6000 -0.0100
4.2000 0.6000 -0.0030
4.3000 0.6000 0.0139
4.4000 0.6000 0.0714
4.5000 0.6000 0.0691
4.6000 0.6000 0.0232
4.7000 0.6000 -0.0299
4.8000 0.6000 -0.0137
4.9000 0.6000 0.0160
0.0000 0.7000 0.0316
0.1000 0.7000 0.0529
0.2000 0.7000 0.0904
0.3000 0.7000 0.1540
0.4000 0.7000 0.1547
0.5000 0.7000 0.0870
0.6000 0.7000 0.0614
0.7000 0.7000 0.0651
0.8000 0.7000 0.0790
0.9000 0.7000 0.1034
1.0000 0.7000 0.1331
1.1000 0.7000 0.1711
1.2000 0.7000 0.2152
1.3000 0.7000 0.2504
1.4000 0.7000 0.2395
1.5000 0.7000 0.2238
1.6000 0.7000 0.2122
1.7000 0.7000 0.2060
1.8000 0.7000 0.2091
1.9000 0.7000 0.2321
2.0000 0.7000 0.3070
2.1000 0.7000 0.3124
2.2000 0.7000 0.3079
2.3000 0.7000 0.3092
2.4000 0.7000 0.2821
2.5000 0.7000 0.3021
2.6000 0.7000 0.2735
2.7000 0.7000 0.2457
2.8000 0.7000 0.2085
2.9000 0.7000 0.1759
3.0000 0.7000 0.1188
3.1000 0.7000 0.1363
3.2000 0.7000 0.1443
3.3000 0.7000 0.1039
3.4000 0.7000 0.0670
3.5000 0.7000 0.0081
3.6000 0.7000 0.0051
3.7000 0.7000 0.0253
3.8000 0.7000 0.0464
3.9000 0.7000 0.0041
4.0000 0.7000 -0.0173
4.1000 0.7000 -0.0054
4.2000 0.7000 0.0211
4.3000 0.7000 0.0648
4.4000 0.7000 0.0817
4.5000 0.7000 0.0622
4.6000 0.7000 0.0392
4.7000 0.7000 0.0018
4.8000 0.7000 0.0198
4.9000 0.7000 0.0503
0.0000 0.8000 0.0625
0.1000 0.8000 0.0704
0.2000 0.8000 0.0941
0.3000 0.8000 0.0785
0.4000 0.8000 0.1014
0.5000 0.8000 0.1107
0.6000 0.8000 0.0995
0.7000 0.8000 0.0994
0.8000 0.8000 0.0964
0.9000 0.8000 0.1005
1.0000 0.8000 0.1042
1.1000 0.8000 0.1213
1.2000 0.8000 0.1899
1.3000 0.8000 0.2757
1.4000 0.8000 0.2783
1.5000 0.8000 0.2435
1.6000 0.8000 0.2120
1.7000 0.8000 0.2015
1.8000 0.8000 0.2137
1.9000 0.8000 0.2424
2.0000 0.8000 0.2984
2.1000 0.8000 0.3088
2.2000 0.8000 0.3296
2.3000 0.8000 0.3306
2.4000 0.8000 0.3201
2.5000 0.8000 0.3248
2.6000 0.8000 0.3212
2.7000 0.8000 0.2907
2.8000 0.8000 0.2227
2.9000 0.8000 0.1709
3.0000 0.8000 0.1533
3.1000 0.8000 0.1551
3.2000 0.8000 0.1365
3.3000 0.8000 0.0919
3.4000 0.8000 0.0315
3.5000 0.8000 -0.0363
3.6000 0.8000 -0.0479
3.7000 0.8000 -0.0159
3.8000 0.8000 -0.0032
3.9000 0.8000 0.0070
4.0000 0.8000 0.0040
4.1000 0.8000 0.0057
4.2000 0.8000 0.0058
4.3000 0.8000 0.0642
4.4000 0.8000 0.0901
4.5000 0.8000 0.1219
4.6000 0.8000 0.0805
4.7000 0.8000 0.0622
4.8000 0.8000 0.0835
4.9000 0.8000 0.0938
0.0000 0.9000 0.0915
0.1000 0.9000 0.0877
0.2000 0.9000 0.0740
0.3000 0.9000 0.0535
0.4000 0.9000 0.0708
0.5000 0.9000 0.0847
0.6000 0.9000 0.1019
0.7000 0.9000 0.1172
0.8000 0.9000 0.1214
0.9000 0.9000 0.0958
1.0000 0.9000 0.0988
1.1000 0.9000 0.1176
1.2000 0.9000 0.1397
1.3000 0.9000 0.2111
1.4000 0.9000 0.2636
1.5000 0.9000 0.2439
1.6000 0.9000 0.2302
