# x, y, err
0.0000 0.0000 0.8880
0.1000 0.0000 0.8440
0.2000 0.0000 0.8380
0.3000 0.0000 0.7980
0.4000 0.0000 0.7660
0.5000 0.0000 0.7740
0.6000 0.0000 0.7860
0.7000 0.0000 0.7880
0.8000 0.0000 0.8040
0.9000 0.0000 0.8380
1.0000 0.0000 0.8680
1.1000 0.0000 0.8380
1.2000 0.0000 0.7940
1.3000 0.0000 0.7920
1.4000 0.0000 0.7920
1.5000 0.0000 0.7820
1.6000 0.0000 0.7900
1.7000 0.0000 0.7820
1.8000 0.0000 0.7940
1.9000 0.0000 0.8280
2.0000 0.0000 0.8600
2.1000 0.0000 0.8360
2.2000 0.0000 0.7940
2.3000 0.0000 0.7860
2.4000 0.0000 0.7720
2.5000 0.0000 0.7880
2.6000 0.0000 0.7660
2.7000 0.0000 0.7760
2.8000 0.0000 0.7920
2.9000 0.0000 0.8260
3.0000 0.0000 0.8780
3.1000 0.0000 0.8320
3.2000 0.0000 0.7880
3.3000 0.0000 0.7560
3.4000 0.0000 0.7740
3.5000 0.0000 0.7700
3.6000 0.0000 0.7520
3.7000 0.0000 0.7660
3.8000 0.0000 0.7800
3.9000 0.0000 0.8220
4.0000 0.0000 0.8620
4.1000 0.0000 0.8260
4.2000 0.0000 0.7860
4.3000 0.0000 0.7840
4.4000 0.0000 0.7580
4.5000 0.0000 0.7820
4.6000 0.0000 0.7840
4.7000 0.0000 0.7740
4.8000 0.0000 0.7780
4.9000 0.0000 0.8160
0.0000 0.1000 0.8220
0.1000 0.1000 0.8240
0.2000 0.1000 0.8000
0.3000 0.1000 0.7720
0.4000 0.1000 0.7720
0.5000 0.1000 0.7660
0.6000 0.1000 0.7880
0.7000 0.1000 0.7840
0.8000 0.1000 0.7940
0.9000 0.1000 0.8180
1.0000 0.1000 0.8520
1.1000 0.1000 0.8400
1.2000 0.1000 0.8140
1.3000 0.1000 0.7860
1.4000 0.1000 0.7960
1.5000 0.1000 0.7940
1.6000 0.1000 0.7860
1.7000 0.1000 0.8000
1.8000 0.1000 0.7920
1.9000 0.1000 0.8180
2.0000 0.1000 0.8200
2.1000 0.1000 0.7900
2.2000 0.1000 0.7900
2.3000 0.1000 0.7900
2.4000 0.1000 0.7860
2.5000 0.1000 0.7880
2.6000 0.1000 0.7840
2.7000 0.1000 0.7700
2.8000 0.1000 0.7720
2.9000 0.1000 0.8040
3.0000 0.1000 0.8280
3.1000 0.1000 0.8260
3.2000 0.1000 0.8020
3.3000 0.1000 0.7680
3.4000 0.1000 0.7560
3.5000 0.1000 0.7580
3.6000 0.1000 0.7760
3.7000 0.1000 0.7680
3.8000 0.1000 0.7640
3.9000 0.1000 0.7900
4.0000 0.1000 0.8140
4.1000 0.1000 0.7880
4.2000 0.1000 0.7640
4.3000 0.1000 0.7700
4.4000 0.1000 0.7600
4.5000 0.1000 0.7720
4.6000 0.1000 0.7780
4.7000 0.1000 0.7640
4.8000 0.1000 0.7900
4.9000 0.1000 0.8100
0.0000 0.2000 0.7680
0.1000 0.2000 0.7840
0.2000 0.2000 0.7720
0.3000 0.2000 0.7720
0.4000 0.2000 0.7740
0.5000 0.2000 0.7800
0.6000 0.2000 0.7820
0.7000 0.2000 0.7840
0.8000 0.2000 0.7980
0.9000 0.2000 0.8280
1.0000 0.2000 0.8380
1.1000 0.2000 0.8360
1.2000 0.2000 0.8140
1.3000 0.2000 0.7940
1.4000 0.2000 0.8000
1.5000 0.2000 0.7920
1.6000 0.2000 0.8080
1.7000 0.2000 0.8080
1.8000 0.2000 0.7980
1.9000 0.2000 0.7940
2.0000 0.2000 0.7980
2.1000 0.2000 0.7820
2.2000 0.2000 0.7640
2.3000 0.2000 0.7680
2.4000 0.2000 0.7880
2.5000 0.2000 0.7660
2.6000 0.2000 0.7620
2.7000 0.2000 0.7560
2.8000 0.2000 0.7560
2.9000 0.2000 0.7700
3.0000 0.2000 0.7840
3.1000 0.2000 0.8000
3.2000 0.2000 0.7880
3.3000 0.2000 0.7840
3.4000 0.2000 0.7800
3.5000 0.2000 0.7540
3.6000 0.2000 0.7700
3.7000 0.2000 0.7700
3.8000 0.2000 0.7680
3.9000 0.2000 0.7720
4.0000 0.2000 0.7660
4.1000 0.2000 0.7660
4.2000 0.2000 0.7560
4.3000 0.2000 0.7640
4.4000 0.2000 0.7660
4.5000 0.2000 0.7620
4.6000 0.2000 0.7760
4.7000 0.2000 0.7740
4.8000 0.2000 0.7740
4.9000 0.2000 0.7780
0.0000 0.3000 0.7560
0.1000 0.3000 0.7640
0.2000 0.3000 0.7820
0.3000 0.3000 0.7700
0.4000 0.3000 0.7680
0.5000 0.3000 0.7820
0.6000 0.3000 0.7920
0.7000 0.3000 0.7700
0.8000 0.3000 0.7800
0.9000 0.3000 0.7940
1.0000 0.3000 0.8000
1.1000 0.3000 0.8120
1.2000 0.3000 0.8220
1.3000 0.3000 0.8080
1.4000 0.3000 0.7900
1.5000 0.3000 0.7860
1.6000 0.3000 0.8180
1.7000 0.3000 0.8120
1.8000 0.3000 0.7940
1.9000 0.3000 0.8040
2.0000 0.3000 0.7660
2.1000 0.3000 0.7680
2.2000 0.3000 0.7500
2.3000 0.3000 0.7620
2.4000 0.3000 0.7740
2.5000 0.3000 0.7860
2.6000 0.3000 0.7380
2.7000 0.3000 0.7500
2.8000 0.3000 0.7620
2.9000 0.3000 0.7640
3.0000 0.3000 0.7880
3.1000 0.3000 0.8020
3.2000 0.3000 0.7620
3.3000 0.3000 0.7680
3.4000 0.3000 0.7800
3.5000 0.3000 0.7620
3.6000 0.3000 0.7460
3.7000 0.3000 0.7480
3.8000 0.3000 0.7660
3.9000 0.3000 0.7660
4.0000 0.3000 0.7680
4.1000 0.3000 0.7500
4.2000 0.3000 0.7540
4.3000 0.3000 0.7360
4.4000 0.3000 0.7300
4.5000 0.3000 0.7460
4.6000 0.3000 0.7620
4.7000 0.3000 0.7660
4.8000 0.3000 0.7800
4.9000 0.3000 0.7820
0.0000 0.4000 0.7700
0.1000 0.4000 0.7740
0.2000 0.4000 0.7600
0.3000 0.4000 0.7500
0.4000 0.4000 0.7620
0.5000 0.4000 0.7780
0.6000 0.4000 0.7680
0.7000 0.4000 0.7740
0.8000 0.4000 0.7940
0.9000 0.4000 0.7920
1.0000 0.4000 0.8000
1.1000 0.4000 0.8140
1.2000 0.4000 0.8080
1.3000 0.4000 0.8080
1.4000 0.4000 0.7940
1.5000 0.4000 0.7740
1.6000 0.4000 0.7940
1.7000 0.4000 0.7760
1.8000 0.4000 0.7820
1.9000 0.4000 0.7800
2.0000 0.4000 0.7840
2.1000 0.4000 0.7700
2.2000 0.4000 0.7640
2.3000 0.4000 0.7600
2.4000 0.4000 0.7580
2.5000 0.4000 0.7820
2.6000 0.4000 0.7500
2.7000 0.4000 0.7540
2.8000 0.4000 0.7460
2.9000 0.4000 0.7540
3.0000 0.4000 0.7740
3.1000 0.4000 0.7680
3.2000 0.4000 0.7660
3.3000 0.4000 0.7700
3.4000 0.4000 0.7520
3.5000 0.4000 0.7440
3.6000 0.4000 0.7420
3.7000 0.4000 0.7340
3.8000 0.4000 0.7400
3.9000 0.4000 0.7620
4.0000 0.4000 0.7480
4.1000 0.4000 0.7620
4.2000 0.4000 0.7540
4.3000 0.4000 0.7420
4.4000 0.4000 0.7360
4.5000 0.4000 0.7460
4.6000 0.4000 0.7600
4.7000 0.4000 0.7640
4.8000 0.4000 0.7980
4.9000 0.4000 0.7680
0.0000 0.5000 0.7860
0.1000 0.5000 0.7760
0.2000 0.5000 0.7700
0.3000 0.5000 0.7620
0.4000 0.5000 0.7900
0.5000 0.5000 0.7940
0.6000 0.5000 0.7840
0.7000 0.5000 0.7900
0.8000 0.5000 0.7980
0.9000 0.5000 0.7720
1.0000 0.5000 0.8040
1.1000 0.5000 0.8000
1.2000 0.5000 0.8320
1.3000 0.5000 0.7980
1.4000 0.5000 0.8000
1.5000 0.5000 0.7820
1.6000 0.5000 0.7840
1.7000 0.5000 0.7680
1.8000 0.5000 0.7800
1.9000 0.5000 0.7880
2.0000 0.5000 0.7540
2.1000 0.5000 0.7600
2.2000 0.5000 0.7520
2.3000 0.5000 0.7700
2.4000 0.5000 0.7720
2.5000 0.5000 0.7560
2.6000 0.5000 0.7520
2.7000 0.5000 0.7580
2.8000 0.5000 0.7740
2.9000 0.5000 0.7760
3.0000 0.5000 0.7760
3.1000 0.5000 0.7800
3.2000 0.5000 0.7660
3.3000 0.5000 0.7740
3.4000 0.5000 0.7560
3.5000 0.5000 0.7360
3.6000 0.5000 0.7200
3.7000 0.5000 0.7240
3.8000 0.5000 0.7580
3.9000 0.5000 0.7660
4.0000 0.5000 0.7500
4.1000 0.5000 0.7540
4.2000 0.5000 0.7840
4.3000 0.5000 0.7660
4.4000 0.5000 0.7640
4.5000 0.5000 0.7460
4.6000 0.5000 0.7660
4.7000 0.5000 0.7640
4.8000 0.5000 0.7760
4.9000 0.5000 0.7920
0.0000 0.6000 0.7860
0.1000 0.6000 0.7760
0.2000 0.6000 0.7700
0.3000 0.6000 0.7620
0.4000 0.6000 0.7840
0.5000 0.6000 0.7740
0.6000 0.6000 0.7700
0.7000 0.6000 0.7680
0.8000 0.6000 0.7840
0.9000 0.6000 0.7800
1.0000 0.6000 0.8080
1.1000 0.6000 0.7940
1.2000 0.6000 0.7940
1.3000 0.6000 0.7940
1.4000 0.6000 0.8000
1.5000 0.6000 0.7800
1.6000 0.6000 0.7580
1.7000 0.6000 0.7660
1.8000 0.6000 0.7780
1.9000 0.6000 0.7720
2.0000 0.6000 0.7760
2.1000 0.6000 0.7600
2.2000 0.6000 0.7500
2.3000 0.6000 0.7440
2.4000 0.6000 0.7640
2.5000 0.6000 0.7620
2.6000 0.6000 0.7460
2.7000 0.6000 0.7680
2.8000 0.6000 0.7820
2.9000 0.6000 0.7700
3.0000 0.6000 0.7840
3.1000 0.6000 0.7860
3.2000 0.6000 0.7740
3.3000 0.6000 0.7600
3.4000 0.6000 0.7520
3.5000 0.6000 0.7340
3.6000 0.6000 0.7200
3.7000 0.6000 0.7140
3.8000 0.6000 0.7360
3.9000 0.6000 0.7780
4.0000 0.6000 0.7720
4.1000 0.6000 0.7680
4.2000 0.6000 0.7740
4.3000 0.6000 0.7780
4.4000 0.6000 0.8000
4.5000 0.6000 0.7760
4.6000 0.6000 0.7720
4.7000 0.6000 0.7640
4.8000 0.6000 0.7680
4.9000 0.6000 0.8000
0.0000 0.7000 0.7820
0.1000 0.7000 0.7780
0.2000 0.7000 0.7620
0.3000 0.7000 0.7640
0.4000 0.7000 0.7760
0.5000 0.7000 0.7660
0.6000 0.7000 0.7560
0.7000 0.7000 0.7820
0.8000 0.7000 0.7920
0.9000 0.7000 0.7880
1.0000 0.7000 0.8060
1.1000 0.7000 0.7940
1.2000 0.7000 0.7920
1.3000 0.7000 0.7940
1.4000 0.7000 0.7880
1.5000 0.7000 0.7980
1.6000 0.7000 0.7660
1.7000 0.7000 0.7960
1.8000 0.7000 0.7540
1.9000 0.7000 0.7560
2.0000 0.7000 0.7720
2.1000 0.7000 0.7320
2.2000 0.7000 0.7480
2.3000 0.7000 0.7700
2.4000 0.7000 0.7680
2.5000 0.7000 0.7420
2.6000 0.7000 0.7660
2.7000 0.7000 0.7500
2.8000 0.7000 0.7920
2.9000 0.7000 0.7780
3.0000 0.7000 0.7680
3.1000 0.7000 0.7660
3.2000 0.7000 0.7680
3.3000 0.7000 0.7500
3.4000 0.7000 0.7440
3.5000 0.7000 0.7540
3.6000 0.7000 0.7540
3.7000 0.7000 0.7420
3.8000 0.7000 0.7360
3.9000 0.7000 0.7420
4.0000 0.7000 0.7560
4.1000 0.7000 0.7860
4.2000 0.7000 0.8100
4.3000 0.7000 0.8180
4.4000 0.7000 0.8080
4.5000 0.7000 0.7860
4.6000 0.7000 0.7960
4.7000 0.7000 0.8020
4.8000 0.7000 0.7800
4.9000 0.7000 0.7900
0.0000 0.8000 0.7960
0.1000 0.8000 0.7900
0.2000 0.8000 0.7700
0.3000 0.8000 0.7840
0.4000 0.8000 0.7660
0.5000 0.8000 0.7580
0.6000 0.8000 0.7660
0.7000 0.8000 0.7740
0.8000 0.8000 0.7960
0.9000 0.8000 0.8100
1.0000 0.8000 0.8080
1.1000 0.8000 0.8100
1.2000 0.8000 0.7960
1.3000 0.8000 0.8080
1.4000 0.8000 0.7960
1.5000 0.8000 0.7820
1.6000 0.8000 0.7740
1.7000 0.8000 0.8120
1.8000 0.8000 0.7960
1.9000 0.8000 0.7820
2.0000 0.8000 0.7780
2.1000 0.8000 0.7640
2.2000 0.8000 0.7600
2.3000 0.8000 0.7500
2.4000 0.8000 0.7480
2.5000 0.8000 0.7620
2.6000 0.8000 0.7460
2.7000 0.8000 0.7560
2.8000 0.8000 0.7720
2.9000 0.8000 0.7920
3.0000 0.8000 0.7680
3.1000 0.8000 0.7720
3.2000 0.8000 0.7560
3.3000 0.8000 0.7520
3.4000 0.8000 0.7400
3.5000 0.8000 0.7240
3.6000 0.8000 0.7420
3.7000 0.8000 0.7660
3.8000 0.8000 0.7520
3.9000 0.8000 0.7440
4.0000 0.8000 0.7700
4.1000 0.8000 0.8040
4.2000 0.8000 0.8260
4.3000 0.8000 0.8280
4.4000 0.8000 0.8300
4.5000 0.8000 0.8060
4.6000 0.8000 0.8000
4.7000 0.8000 0.8040
4.8000 0.8000 0.8020
4.9000 0.8000 0.8180
0.0000 0.9000 0.8240
0.1000 0.9000 0.8000
0.2000 0.9000 0.7920
0.3000 0.9000 0.7440
0.4000 0.9000 0.7640
0.5000 0.9000 0.7860
0.6000 0.9000 0.7740
0.7000 0.9000 0.7900
0.8000 0.9000 0.8040
0.9000 0.9000 0.8280
1.0000 0.9000 0.8600
1.1000 0.9000 0.8300
1.2000 0.9000 0.7800
1.3000 0.9000 0.7880
1.4000 0.9000 0.7680
1.5000 0.9000 0.7640
1.6000 0.9000 0.7620
1.7000 0.9000 0.8020
1.8000 0.9000 0.8200
1.9000 0.9000 0.8320
2.0000 0.9000 0.8480
2.1000 0.9000 0.8000
2.2000 0.9000 0.7660
2.3000 0.9000 0.7680
2.4000 0.9000 0.7680
2.5000 0.9000 0.7580
2.6000 0.9000 0.7740
2.7000 0.9000 0.7840
2.8000 0.9000 0.7740
2.9000 0.9000 0.8060
3.0000 0.9000 0.8200
3.1000 0.9000 0.7980
3.2000 0.9000 0.7740
3.3000 0.9000 0.7520
3.4000 0.9000 0.7420
3.5000 0.9000 0.7360
3.6000 0.9000 0.7480
3.7000 0.9000 0.7600
3.8000 0.9000 0.7580
3.9000 0.9000 0.7800
4.0000 0.9000 0.8200
4.1000 0.9000 0.8440
4.2000 0.9000 0.8500
4.3000 0.9000 0.8260
4.4000 0.9000 0.8140
4.5000 0.9000 0.7940
4.6000 0.9000 0.7920
4.7000 0.9000 0.8080
4.8000 0.9000 0.7880
4.9000 0.9000 0.8120
0.0000 1.0000 0.8680
0.1000 1.0000 0.8220
0.2000 1.0000 0.7620
0.3000 1.0000 0.7480
0.4000 1.0000 0.7400
0.5000 1.0000 0.7480
0.6000 1.0000 0.7480
0.7000 1.0000 0.7600
0.8000 1.0000 0.8060
0.9000 1.0000 0.8460
1.0000 1.0000 0.9080
1.1000 1.0000 0.8240
