# x, y, err
0.0000 0.0000 0.8940
0.1000 0.0000 0.8880
0.2000 0.0000 0.8840
0.3000 0.0000 0.9000
0.4000 0.0000 0.9000
0.5000 0.0000 0.8980
0.6000 0.0000 0.8840
0.7000 0.0000 0.8880
0.8000 0.0000 0.8800
0.9000 0.0000 0.8900
1.0000 0.0000 0.8620
1.1000 0.0000 0.8720
1.2000 0.0000 0.8800
1.3000 0.0000 0.8740
1.4000 0.0000 0.8880
1.5000 0.0000 0.8840
1.6000 0.0000 0.8640
1.7000 0.0000 0.8820
1.8000 0.0000 0.8960
1.9000 0.0000 0.8940
2.0000 0.0000 0.8760
2.1000 0.0000 0.8640
2.2000 0.0000 0.8720
2.3000 0.0000 0.8720
2.4000 0.0000 0.8560
2.5000 0.0000 0.8540
2.6000 0.0000 0.8560
2.7000 0.0000 0.8420
2.8000 0.0000 0.8560
2.9000 0.0000 0.8660
3.0000 0.0000 0.8880
3.1000 0.0000 0.8980
3.2000 0.0000 0.8980
3.3000 0.0000 0.8960
3.4000 0.0000 0.8960
3.5000 0.0000 0.8860
3.6000 0.0000 0.8760
3.7000 0.0000 0.8660
3.8000 0.0000 0.8720
3.9000 0.0000 0.8720
4.0000 0.0000 0.8860
4.1000 0.0000 0.8820
4.2000 0.0000 0.8980
4.3000 0.0000 0.8780
4.4000 0.0000 0.8900
4.5000 0.0000 0.8940
4.6000 0.0000 0.9060
4.7000 0.0000 0.9020
4.8000 0.0000 0.9000
4.9000 0.0000 0.8980
0.0000 0.1000 0.8900
0.1000 0.1000 0.8860
0.2000 0.1000 0.8740
0.3000 0.1000 0.8880
0.4000 0.1000 0.9020
0.5000 0.1000 0.8960
0.6000 0.1000 0.8860
0.7000 0.1000 0.8940
0.8000 0.1000 0.8760
0.9000 0.1000 0.9000
1.0000 0.1000 0.8700
1.1000 0.1000 0.8800
1.2000 0.1000 0.8960
1.3000 0.1000 0.8980
1.4000 0.1000 0.8800
1.5000 0.1000 0.8880
1.6000 0.1000 0.8920
1.7000 0.1000 0.8880
1.8000 0.1000 0.8980
1.9000 0.1000 0.8780
2.0000 0.1000 0.8720
2.1000 0.1000 0.8620
2.2000 0.1000 0.8740
2.3000 0.1000 0.8720
2.4000 0.1000 0.8560
2.5000 0.1000 0.8640
2.6000 0.1000 0.8600
2.7000 0.1000 0.8580
2.8000 0.1000 0.8700
2.9000 0.1000 0.8860
3.0000 0.1000 0.8940
3.1000 0.1000 0.9080
3.2000 0.1000 0.9080
3.3000 0.1000 0.8960
3.4000 0.1000 0.8800
3.5000 0.1000 0.8780
3.6000 0.1000 0.8720
3.7000 0.1000 0.8740
3.8000 0.1000 0.8780
3.9000 0.1000 0.8620
4.0000 0.1000 0.8780
4.1000 0.1000 0.8800
4.2000 0.1000 0.8980
4.3000 0.1000 0.8940
4.4000 0.1000 0.8940
4.5000 0.1000 0.9060
4.6000 0.1000 0.9120
4.7000 0.1000 0.9040
4.8000 0.1000 0.9120
4.9000 0.1000 0.8920
0.0000 0.2000 0.8880
0.1000 0.2000 0.8740
0.2000 0.2000 0.8760
0.3000 0.2000 0.8880
0.4000 0.2000 0.8940
0.5000 0.2000 0.9020
