# x, y, err
0.0000 0.0000 0.9240
0.1000 0.0000 0.9100
0.2000 0.0000 0.9120
0.3000 0.0000 0.9060
0.4000 0.0000 0.9060
0.5000 0.0000 0.8980
0.6000 0.0000 0.8800
0.7000 0.0000 0.8680
0.8000 0.0000 0.8800
0.9000 0.0000 0.8840
1.0000 0.0000 0.8980
1.1000 0.0000 0.9120
1.2000 0.0000 0.9260
1.3000 0.0000 0.9200
1.4000 0.0000 0.9060
1.5000 0.0000 0.9000
1.6000 0.0000 0.8920
1.7000 0.0000 0.8800
1.8000 0.0000 0.8940
1.9000 0.0000 0.8840
2.0000 0.0000 0.8820
2.1000 0.0000 0.8940
2.2000 0.0000 0.8800
2.3000 0.0000 0.8580
2.4000 0.0000 0.8580
2.5000 0.0000 0.8700
2.6000 0.0000 0.8800
2.7000 0.0000 0.8920
2.8000 0.0000 0.8860
2.9000 0.0000 0.9100
3.0000 0.0000 0.9000
3.1000 0.0000 0.8980
3.2000 0.0000 0.8880
3.3000 0.0000 0.9080
3.4000 0.0000 0.9160
3.5000 0.0000 0.9140
3.6000 0.0000 0.9040
3.7000 0.0000 0.8920
3.8000 0.0000 0.9020
3.9000 0.0000 0.8860
4.0000 0.0000 0.8660
4.1000 0.0000 0.8800
4.2000 0.0000 0.8860
4.3000 0.0000 0.8920
4.4000 0.0000 0.8960
4.5000 0.0000 0.8980
4.6000 0.0000 0.9060
4.7000 0.0000 0.9040
4.8000 0.0000 0.8940
4.9000 0.0000 0.9020
0.0000 0.1000 0.9140
0.1000 0.1000 0.9200
0.2000 0.1000 0.9080
0.3000 0.1000 0.8980
0.4000 0.1000 0.8960
0.5000 0.1000 0.8960
0.6000 0.1000 0.8660
0.7000 0.1000 0.8480
0.8000 0.1000 0.8460
0.9000 0.1000 0.8580
1.0000 0.1000 0.8760
1.1000 0.1000 0.8940
1.2000 0.1000 0.9120
1.3000 0.1000 0.8960
1.4000 0.1000 0.8920
1.5000 0.1000 0.8880
1.6000 0.1000 0.8760
1.7000 0.1000 0.8860
1.8000 0.1000 0.8820
1.9000 0.1000 0.8900
2.0000 0.1000 0.8700
2.1000 0.1000 0.8760
2.2000 0.1000 0.8880
2.3000 0.1000 0.8680
2.4000 0.1000 0.8660
2.5000 0.1000 0.8600
