# x, y, err
0.0000 0.0000 0.9140
0.1000 0.0000 0.9040
0.2000 0.0000 0.9220
0.3000 0.0000 0.9260
0.4000 0.0000 0.9220
0.5000 0.0000 0.9200
0.6000 0.0000 0.9120
0.7000 0.0000 0.9140
0.8000 0.0000 0.9180
0.9000 0.0000 0.9020
1.0000 0.0000 0.8860
1.1000 0.0000 0.9100
1.2000 0.0000 0.9060
1.3000 0.0000 0.9160
1.4000 0.0000 0.9180
1.5000 0.0000 0.9120
1.6000 0.0000 0.9080
1.7000 0.0000 0.9180
1.8000 0.0000 0.9060
1.9000 0.0000 0.9120
2.0000 0.0000 0.8800
2.1000 0.0000 0.8880
2.2000 0.0000 0.8860
2.3000 0.0000 0.8720
2.4000 0.0000 0.8760
2.5000 0.0000 0.8700
2.6000 0.0000 0.8700
2.7000 0.0000 0.8780
2.8000 0.0000 0.8900
2.9000 0.0000 0.8940
3.0000 0.0000 0.8920
3.1000 0.0000 0.8820
3.2000 0.0000 0.9100
3.3000 0.0000 0.9080
3.4000 0.0000 0.9160
3.5000 0.0000 0.9140
3.6000 0.0000 0.9100
3.7000 0.0000 0.9100
3.8000 0.0000 0.9040
3.9000 0.0000 0.9040
4.0000 0.0000 0.9160
4.1000 0.0000 0.9120
4.2000 0.0000 0.9040
4.3000 0.0000 0.8960
4.4000 0.0000 0.8920
4.5000 0.0000 0.8800
4.6000 0.0000 0.9040
4.7000 0.0000 0.9020
4.8000 0.0000 0.9100
4.9000 0.0000 0.9020
0.0000 0.1000 0.9320
0.1000 0.1000 0.9060
0.2000 0.1000 0.9100
0.3000 0.1000 0.9220
0.4000 0.1000 0.9140
0.5000 0.1000 0.9200
0.6000 0.1000 0.9160
0.7000 0.1000 0.9120
0.8000 0.1000 0.8900
0.9000 0.1000 0.8940
1.0000 0.1000 0.8880
1.1000 0.1000 0.8900
1.2000 0.1000 0.8980
1.3000 0.1000 0.8980
1.4000 0.1000 0.9120
1.5000 0.1000 0.9060
1.6000 0.1000 0.9000
1.7000 0.1000 0.9060
1.8000 0.1000 0.8940
1.9000 0.1000 0.8980
2.0000 0.1000 0.8920
2.1000 0.1000 0.8860
2.2000 0.1000 0.9000
2.3000 0.1000 0.8740
2.4000 0.1000 0.8820
2.5000 0.1000 0.8680
2.6000 0.1000 0.8800
2.7000 0.1000 0.8800
2.8000 0.1000 0.8880
2.9000 0.1000 0.9080
3.0000 0.1000 0.9100
3.1000 0.1000 0.8960
3.2000 0.1000 0.9200
3.3000 0.1000 0.9160
3.4000 0.1000 0.9020
3.5000 0.1000 0.8880
3.6000 0.1000 0.8980
3.7000 0.1000 0.9060
3.8000 0.1000 0.9100
3.9000 0.1000 0.9160
4.0000 0.1000 0.9160
4.1000 0.1000 0.8920
4.2000 0.1000 0.8680
4.3000 0.1000 0.8800
4.4000 0.1000 0.8760
4.5000 0.1000 0.8880
4.6000 0.1000 0.8860
4.7000 0.1000 0.8980
4.8000 0.1000 0.9140
4.9000 0.1000 0.9240
0.0000 0.2000 0.9180
0.1000 0.2000 0.9040
0.2000 0.2000 0.8980
0.3000 0.2000 0.8980
0.4000 0.2000 0.9100
0.5000 0.2000 0.9080
0.6000 0.2000 0.9000
0.7000 0.2000 0.9100
0.8000 0.2000 0.9060
0.9000 0.2000 0.8880
1.0000 0.2000 0.8880
1.1000 0.2000 0.8900
1.2000 0.2000 0.9020
1.3000 0.2000 0.9020
1.4000 0.2000 0.9040
1.5000 0.2000 0.9060
1.6000 0.2000 0.9000
1.7000 0.2000 0.8980
1.8000 0.2000 0.9120
1.9000 0.2000 0.9120
2.0000 0.2000 0.9120
2.1000 0.2000 0.8980
2.2000 0.2000 0.8960
2.3000 0.2000 0.8900
2.4000 0.2000 0.8900
2.5000 0.2000 0.8840
2.6000 0.2000 0.8900
2.7000 0.2000 0.8820
2.8000 0.2000 0.8980
2.9000 0.2000 0.9220
3.0000 0.2000 0.9340
3.1000 0.2000 0.9200
3.2000 0.2000 0.9240
3.3000 0.2000 0.9200
3.4000 0.2000 0.9040
3.5000 0.2000 0.8840
3.6000 0.2000 0.8980
3.7000 0.2000 0.9200
3.8000 0.2000 0.9120
3.9000 0.2000 0.9120
4.0000 0.2000 0.9040
4.1000 0.2000 0.8780
4.2000 0.2000 0.8680
4.3000 0.2000 0.8660
4.4000 0.2000 0.8620
4.5000 0.2000 0.8680
4.6000 0.2000 0.8880
4.7000 0.2000 0.8920
4.8000 0.2000 0.9060
4.9000 0.2000 0.9280
0.0000 0.3000 0.9160
0.1000 0.3000 0.9160
0.2000 0.3000 0.8920
0.3000 0.3000 0.8860
0.4000 0.3000 0.8980
0.5000 0.3000 0.9000
0.6000 0.3000 0.9000
0.7000 0.3000 0.9020
0.8000 0.3000 0.8860
0.9000 0.3000 0.8880
1.0000 0.3000 0.8760
1.1000 0.3000 0.8900
1.2000 0.3000 0.9000
1.3000 0.3000 0.8920
1.4000 0.3000 0.8980
1.5000 0.3000 0.8960
1.6000 0.3000 0.9000
1.7000 0.3000 0.9120
1.8000 0.3000 0.9040
1.9000 0.3000 0.9100
2.0000 0.3000 0.8960
2.1000 0.3000 0.8840
2.2000 0.3000 0.8720
2.3000 0.3000 0.8760
2.4000 0.3000 0.8640
2.5000 0.3000 0.8800
2.6000 0.3000 0.8900
2.7000 0.3000 0.8980
2.8000 0.3000 0.9020
2.9000 0.3000 0.9120
3.0000 0.3000 0.9360
3.1000 0.3000 0.9300
3.2000 0.3000 0.9220
3.3000 0.3000 0.8980
3.4000 0.3000 0.8980
3.5000 0.3000 0.8840
3.6000 0.3000 0.9060
3.7000 0.3000 0.9200
3.8000 0.3000 0.9220
3.9000 0.3000 0.9020
4.0000 0.3000 0.8940
4.1000 0.3000 0.8760
4.2000 0.3000 0.8760
4.3000 0.3000 0.8820
4.4000 0.3000 0.8800
4.5000 0.3000 0.8740
4.6000 0.3000 0.8740
4.7000 0.3000 0.9000
4.8000 0.3000 0.9240
4.9000 0.3000 0.9260
0.0000 0.4000 0.9160
0.1000 0.4000 0.9120
0.2000 0.4000 0.8960
0.3000 0.4000 0.8900
0.4000 0.4000 0.8820
0.5000 0.4000 0.9000
0.6000 0.4000 0.9060
0.7000 0.4000 0.8960
0.8000 0.4000 0.8900
0.9000 0.4000 0.8880
1.0000 0.4000 0.8860
1.1000 0.4000 0.8880
1.2000 0.4000 0.8940
1.3000 0.4000 0.8880
1.4000 0.4000 0.8880
1.5000 0.4000 0.8820
1.6000 0.4000 0.8960
1.7000 0.4000 0.9040
1.8000 0.4000 0.9160
1.9000 0.4000 0.9060
2.0000 0.4000 0.8960
2.1000 0.4000 0.8920
2.2000 0.4000 0.8700
2.3000 0.4000 0.8600
2.4000 0.4000 0.8700
2.5000 0.4000 0.8940
2.6000 0.4000 0.8900
2.7000 0.4000 0.8940
2.8000 0.4000 0.9040
2.9000 0.4000 0.9220
3.0000 0.4000 0.9280
3.1000 0.4000 0.9340
3.2000 0.4000 0.9260
3.3000 0.4000 0.8980
3.4000 0.4000 0.9040
3.5000 0.4000 0.8880
3.6000 0.4000 0.9000
3.7000 0.4000 0.9100
3.8000 0.4000 0.9180
3.9000 0.4000 0.9100
4.0000 0.4000 0.8940
4.1000 0.4000 0.8940
4.2000 0.4000 0.8860
4.3000 0.4000 0.8860
4.4000 0.4000 0.8800
4.5000 0.4000 0.8820
4.6000 0.4000 0.8820
4.7000 0.4000 0.8920
4.8000 0.4000 0.9000
4.9000 0.4000 0.9240
0.0000 0.5000 0.9140
0.1000 0.5000 0.9060
0.2000 0.5000 0.8980
0.3000 0.5000 0.8960
0.4000 0.5000 0.8980
0.5000 0.5000 0.9020
0.6000 0.5000 0.9100
0.7000 0.5000 0.9020
0.8000 0.5000 0.8980
0.9000 0.5000 0.8920
1.0000 0.5000 0.8900
1.1000 0.5000 0.8980
1.2000 0.5000 0.9040
1.3000 0.5000 0.8900
1.4000 0.5000 0.8900
1.5000 0.5000 0.8800
1.6000 0.5000 0.8920
1.7000 0.5000 0.9020
1.8000 0.5000 0.9200
1.9000 0.5000 0.9080
2.0000 0.5000 0.9100
2.1000 0.5000 0.8940
2.2000 0.5000 0.8820
2.3000 0.5000 0.8760
2.4000 0.5000 0.8760
2.5000 0.5000 0.8840
2.6000 0.5000 0.8820
2.7000 0.5000 0.8940
2.8000 0.5000 0.8980
2.9000 0.5000 0.9060
3.0000 0.5000 0.9260
3.1000 0.5000 0.9300
3.2000 0.5000 0.9280
3.3000 0.5000 0.9000
3.4000 0.5000 0.8960
3.5000 0.5000 0.8900
3.6000 0.5000 0.9040
3.7000 0.5000 0.9020
3.8000 0.5000 0.9080
3.9000 0.5000 0.9100
4.0000 0.5000 0.8800
4.1000 0.5000 0.8920
4.2000 0.5000 0.8820
4.3000 0.5000 0.8860
4.4000 0.5000 0.8980
4.5000 0.5000 0.8860
4.6000 0.5000 0.8840
4.7000 0.5000 0.8920
4.8000 0.5000 0.9020
4.9000 0.5000 0.9220
0.0000 0.6000 0.9100
0.1000 0.6000 0.9020
0.2000 0.6000 0.9060
0.3000 0.6000 0.9100
0.4000 0.6000 0.9040
0.5000 0.6000 0.9000
0.6000 0.6000 0.9080
0.7000 0.6000 0.8960
0.8000 0.6000 0.9020
0.9000 0.6000 0.9060
1.0000 0.6000 0.9020
1.1000 0.6000 0.9140
1.2000 0.6000 0.9060
1.3000 0.6000 0.8960
1.4000 0.6000 0.8840
1.5000 0.6000 0.8740
1.6000 0.6000 0.9040
1.7000 0.6000 0.9260
1.8000 0.6000 0.9180
1.9000 0.6000 0.9080
2.0000 0.6000 0.9120
2.1000 0.6000 0.9000
2.2000 0.6000 0.8760
2.3000 0.6000 0.8820
2.4000 0.6000 0.8820
2.5000 0.6000 0.8940
2.6000 0.6000 0.8960
2.7000 0.6000 0.8920
2.8000 0.6000 0.8920
2.9000 0.6000 0.9060
3.0000 0.6000 0.9120
3.1000 0.6000 0.9260
3.2000 0.6000 0.9120
3.3000 0.6000 0.9000
3.4000 0.6000 0.8960
3.5000 0.6000 0.8920
3.6000 0.6000 0.8960
3.7000 0.6000 0.9040
3.8000 0.6000 0.9060
3.9000 0.6000 0.9060
4.0000 0.6000 0.8960
4.1000 0.6000 0.8980
4.2000 0.6000 0.8940
4.3000 0.6000 0.8940
4.4000 0.6000 0.8980
4.5000 0.6000 0.8920
4.6000 0.6000 0.8940
4.7000 0.6000 0.8920
4.8000 0.6000 0.9060
4.9000 0.6000 0.9060
0.0000 0.7000 0.8940
0.1000 0.7000 0.8980
0.2000 0.7000 0.9140
0.3000 0.7000 0.9060
0.4000 0.7000 0.9080
0.5000 0.7000 0.8960
0.6000 0.7000 0.9060
0.7000 0.7000 0.9120
0.8000 0.7000 0.9160
0.9000 0.7000 0.9080
1.0000 0.7000 0.9100
1.1000 0.7000 0.8960
1.2000 0.7000 0.9080
1.3000 0.7000 0.8960
1.4000 0.7000 0.8980
1.5000 0.7000 0.9120
1.6000 0.7000 0.9060
1.7000 0.7000 0.9180
1.8000 0.7000 0.9320
1.9000 0.7000 0.9200
2.0000 0.7000 0.9180
2.1000 0.7000 0.9040
2.2000 0.7000 0.8940
2.3000 0.7000 0.8840
2.4000 0.7000 0.8920
2.5000 0.7000 0.8960
2.6000 0.7000 0.8980
2.7000 0.7000 0.8920
2.8000 0.7000 0.8800
2.9000 0.7000 0.9040
3.0000 0.7000 0.9180
3.1000 0.7000 0.9260
3.2000 0.7000 0.9080
3.3000 0.7000 0.9120
3.4000 0.7000 0.9060
3.5000 0.7000 0.9140
3.6000 0.7000 0.9000
3.7000 0.7000 0.9080
3.8000 0.7000 0.9020
3.9000 0.7000 0.9160
4.0000 0.7000 0.9000
4.1000 0.7000 0.9020
4.2000 0.7000 0.9080
4.3000 0.7000 0.8900
4.4000 0.7000 0.8900
4.5000 0.7000 0.8860
4.6000 0.7000 0.8980
4.7000 0.7000 0.8880
4.8000 0.7000 0.8800
4.9000 0.7000 0.8980
0.0000 0.8000 0.9180
0.1000 0.8000 0.9120
0.2000 0.8000 0.9120
0.3000 0.8000 0.9120
0.4000 0.8000 0.9160
0.5000 0.8000 0.9040
0.6000 0.8000 0.9100
0.7000 0.8000 0.9160
0.8000 0.8000 0.9160
0.9000 0.8000 0.9040
1.0000 0.8000 0.8960
1.1000 0.8000 0.8960
1.2000 0.8000 0.9080
1.3000 0.8000 0.8980
1.4000 0.8000 0.9200
1.5000 0.8000 0.9080
1.6000 0.8000 0.9140
1.7000 0.8000 0.9200
1.8000 0.8000 0.9260
1.9000 0.8000 0.9240
2.0000 0.8000 0.9180
2.1000 0.8000 0.9120
2.2000 0.8000 0.8980
2.3000 0.8000 0.8700
2.4000 0.8000 0.8940
2.5000 0.8000 0.9060
2.6000 0.8000 0.9140
2.7000 0.8000 0.8940
2.8000 0.8000 0.8940
2.9000 0.8000 0.9020
3.0000 0.8000 0.9140
3.1000 0.8000 0.9180
3.2000 0.8000 0.9040
3.3000 0.8000 0.8940
3.4000 0.8000 0.9020
3.5000 0.8000 0.9060
3.6000 0.8000 0.9100
3.7000 0.8000 0.9000
3.8000 0.8000 0.8920
3.9000 0.8000 0.8960
4.0000 0.8000 0.8960
4.1000 0.8000 0.8960
4.2000 0.8000 0.9220
4.3000 0.8000 0.9020
4.4000 0.8000 0.8900
4.5000 0.8000 0.8860
4.6000 0.8000 0.8760
4.7000 0.8000 0.8860
4.8000 0.8000 0.9000
4.9000 0.8000 0.8980
0.0000 0.9000 0.9120
0.1000 0.9000 0.9160
0.2000 0.9000 0.9080
0.3000 0.9000 0.9100
0.4000 0.9000 0.9120
0.5000 0.9000 0.9040
0.6000 0.9000 0.9060
0.7000 0.9000 0.9160
0.8000 0.9000 0.9040
0.9000 0.9000 0.9200
1.0000 0.9000 0.9000
1.1000 0.9000 0.9100
1.2000 0.9000 0.9120
1.3000 0.9000 0.9100
1.4000 0.9000 0.9140
1.5000 0.9000 0.9120
1.6000 0.9000 0.9100
1.7000 0.9000 0.9160
1.8000 0.9000 0.9260
1.9000 0.9000 0.9120
2.0000 0.9000 0.9040
2.1000 0.9000 0.8980
2.2000 0.9000 0.9060
2.3000 0.9000 0.8900
2.4000 0.9000 0.8900
2.5000 0.9000 0.9080
2.6000 0.9000 0.9000
2.7000 0.9000 0.9000
2.8000 0.9000 0.9040
2.9000 0.9000 0.9040
3.0000 0.9000 0.9160
3.1000 0.9000 0.9080
3.2000 0.9000 0.8860
3.3000 0.9000 0.8840
3.4000 0.9000 0.8960
3.5000 0.9000 0.9180
3.6000 0.9000 0.9160
3.7000 0.9000 0.9280
3.8000 0.9000 0.9120
3.9000 0.9000 0.9260
4.0000 0.9000 0.8900
4.1000 0.9000 0.9040
4.2000 0.9000 0.8960
4.3000 0.9000 0.8940
4.4000 0.9000 0.8760
4.5000 0.9000 0.8720
4.6000 0.9000 0.8820
4.7000 0.9000 0.8820
4.8000 0.9000 0.9060
4.9000 0.9000 0.9080
0.0000 1.0000 0.8780
0.1000 1.0000 0.9020
0.2000 1.0000 0.8880
0.3000 1.0000 0.9200
0.4000 1.0000 0.9080
0.5000 1.0000 0.8980
0.6000 1.0000 0.9080
0.7000 1.0000 0.8900
0.8000 1.0000 0.9020
0.9000 1.0000 0.9060
1.0000 1.0000 0.8820
1.1000 1.0000 0.9040
1.2000 1.0000 0.9120
1.3000 1.0000 0.9180
1.4000 1.0000 0.9200
1.5000 1.0000 0.9220
1.6000 1.0000 0.9180
1.7000 1.0000 0.9280
1.8000 1.0000 0.9200
1.9000 1.0000 0.8980
2.0000 1.0000 0.8760
2.1000 1.0000 0.8940
2.2000 1.0000 0.9000
2.3000 1.0000 0.9040
2.4000 1.0000 0.9000
2.5000 1.0000 0.9140
2.6000 1.0000 0.9200
2.7000 1.0000 0.9140
2.8000 1.0000 0.9100
2.9000 1.0000 0.9120
3.0000 1.0000 0.8900
3.1000 1.0000 0.8920
3.2000 1.0000 0.8880
3.3000 1.0000 0.8900
3.4000 1.0000 0.8940
3.5000 1.0000 0.9000
3.6000 1.0000 0.9060
3.7000 1.0000 0.9140
3.8000 1.0000 0.9320
3.9000 1.0000 0.9140
4.0000 1.0000 0.9000
4.1000 1.0000 0.9060
4.2000 1.0000 0.9000
4.3000 1.0000 0.9020
4.4000 1.0000 0.8840
4.5000 1.0000 0.8760
4.6000 1.0000 0.8920
4.7000 1.0000 0.8820
4.8000 1.0000 0.8960
4.9000 1.0000 0.9020
0.0000 1.1000 0.9140
0.1000 1.1000 0.9060
0.2000 1.1000 0.9000
0.3000 1.1000 0.9140
0.4000 1.1000 0.9120
0.5000 1.1000 0.9200
0.6000 1.1000 0.9080
0.7000 1.1000 0.8880
0.8000 1.1000 0.9040
0.9000 1.1000 0.8940
1.0000 1.1000 0.8980
1.1000 1.1000 0.9180
1.2000 1.1000 0.9160
1.3000 1.1000 0.9240
1.4000 1.1000 0.9140
1.5000 1.1000 0.9160
1.6000 1.1000 0.9160
1.7000 1.1000 0.9180
1.8000 1.1000 0.9080
1.9000 1.1000 0.9000
2.0000 1.1000 0.8920
2.1000 1.1000 0.8940
2.2000 1.1000 0.9060
2.3000 1.1000 0.9020
2.4000 1.1000 0.8960
2.5000 1.1000 0.9060
2.6000 1.1000 0.9120
2.7000 1.1000 0.9220
2.8000 1.1000 0.9040
2.9000 1.1000 0.9080
3.0000 1.1000 0.8920
3.1000 1.1000 0.8840
3.2000 1.1000 0.8800
3.3000 1.1000 0.8780
3.4000 1.1000 0.8720
3.5000 1.1000 0.8840
3.6000 1.1000 0.8960
3.7000 1.1000 0.9000
3.8000 1.1000 0.9100
3.9000 1.1000 0.9040
4.0000 1.1000 0.9120
4.1000 1.1000 0.9060
4.2000 1.1000 0.9120
4.3000 1.1000 0.9120
4.4000 1.1000 0.9080
4.5000 1.1000 0.8960
4.6000 1.1000 0.8980
4.7000 1.1000 0.8900
4.8000 1.1000 0.8960
4.9000 1.1000 0.9100
0.0000 1.2000 0.8960
0.1000 1.2000 0.9040
0.2000 1.2000 0.9080
0.3000 1.2000 0.9080
0.4000 1.2000 0.9140
0.5000 1.2000 0.9200
0.6000 1.2000 0.9200
0.7000 1.2000 0.8980
0.8000 1.2000 0.8880
0.9000 1.2000 0.8980
1.0000 1.2000 0.9060
1.1000 1.2000 0.9300
1.2000 1.2000 0.9320
1.3000 1.2000 0.9300
1.4000 1.2000 0.9140
1.5000 1.2000 0.9140
1.6000 1.2000 0.9200
1.7000 1.2000 0.9300
1.8000 1.2000 0.9300
1.9000 1.2000 0.9040
2.0000 1.2000 0.9060
2.1000 1.2000 0.8960
2.2000 1.2000 0.8820
2.3000 1.2000 0.8920
2.4000 1.2000 0.8980
2.5000 1.2000 0.9060
2.6000 1.2000 0.8960
2.7000 1.2000 0.9080
2.8000 1.2000 0.8940
2.9000 1.2000 0.8800
3.0000 1.2000 0.9040
3.1000 1.2000 0.8940
3.2000 1.2000 0.8900
3.3000 1.2000 0.8800
3.4000 1.2000 0.8800
3.5000 1.2000 0.8920
3.6000 1.2000 0.8960
3.7000 1.2000 0.9080
3.8000 1.2000 0.9000
3.9000 1.2000 0.9040
4.0000 1.2000 0.9200
4.1000 1.2000 0.9220
4.2000 1.2000 0.9180
4.3000 1.2000 0.9080
4.4000 1.2000 0.8900
4.5000 1.2000 0.8880
4.6000 1.2000 0.8940
4.7000 1.2000 0.8920
4.8000 1.2000 0.8940
4.9000 1.2000 0.8920
0.0000 1.3000 0.8840
0.1000 1.3000 0.9020
0.2000 1.3000 0.9140
0.3000 1.3000 0.9220
0.4000 1.3000 0.9180
0.5000 1.3000 0.9180
0.6000 1.3000 0.9220
0.7000 1.3000 0.9040
0.8000 1.3000 0.9000
0.9000 1.3000 0.9100
1.0000 1.3000 0.9120
1.1000 1.3000 0.9120
1.2000 1.3000 0.9320
1.3000 1.3000 0.9340
1.4000 1.3000 0.9260
1.5000 1.3000 0.9300
1.6000 1.3000 0.9360
1.7000 1.3000 0.9460
1.8000 1.3000 0.9300
1.9000 1.3000 0.9240
2.0000 1.3000 0.9060
2.1000 1.3000 0.9000
2.2000 1.3000 0.8940
2.3000 1.3000 0.8880
2.4000 1.3000 0.9020
2.5000 1.3000 0.9080
2.6000 1.3000 0.9000
2.7000 1.3000 0.9140
2.8000 1.3000 0.9080
2.9000 1.3000 0.9020
3.0000 1.3000 0.9000
3.1000 1.3000 0.9020
3.2000 1.3000 0.8900
3.3000 1.3000 0.8820
3.4000 1.3000 0.8960
3.5000 1.3000 0.8920
3.6000 1.3000 0.8800
3.7000 1.3000 0.9020
3.8000 1.3000 0.9040
3.9000 1.3000 0.9120
4.0000 1.3000 0.9140
4.1000 1.3000 0.9180
4.2000 1.3000 0.9060
4.3000 1.3000 0.8980
4.4000 1.3000 0.8920
4.5000 1.3000 0.8880
4.6000 1.3000 0.8860
4.7000 1.3000 0.8760
4.8000 1.3000 0.8840
4.9000 1.3000 0.8840
0.0000 1.4000 0.8960
0.1000 1.4000 0.9240
0.2000 1.4000 0.9200
0.3000 1.4000 0.9280
0.4000 1.4000 0.9260
0.5000 1.4000 0.9080
0.6000 1.4000 0.9200
0.7000 1.4000 0.9040
0.8000 1.4000 0.8920
0.9000 1.4000 0.8980
1.0000 1.4000 0.9160
1.1000 1.4000 0.9140
1.2000 1.4000 0.9240
1.3000 1.4000 0.9240
1.4000 1.4000 0.9300
1.5000 1.4000 0.9320
1.6000 1.4000 0.9280
1.7000 1.4000 0.9280
1.8000 1.4000 0.9260
1.9000 1.4000 0.9220
2.0000 1.4000 0.9120
2.1000 1.4000 0.9060
2.2000 1.4000 0.9020
2.3000 1.4000 0.8900
2.4000 1.4000 0.9040
2.5000 1.4000 0.9040
2.6000 1.4000 0.8920
2.7000 1.4000 0.8940
2.8000 1.4000 0.9000
2.9000 1.4000 0.9040
3.0000 1.4000 0.9140
3.1000 1.4000 0.8960
3.2000 1.4000 0.8860
3.3000 1.4000 0.8840
3.4000 1.4000 0.8880
3.5000 1.4000 0.8900
3.6000 1.4000 0.8860
3.7000 1.4000 0.8960
3.8000 1.4000 0.9080
3.9000 1.4000 0.9120
4.0000 1.4000 0.9180
4.1000 1.4000 0.9040
4.2000 1.4000 0.9120
4.3000 1.4000 0.9020
4.4000 1.4000 0.8960
4.5000 1.4000 0.8980
4.6000 1.4000 0.8960
4.7000 1.4000 0.8820
4.8000 1.4000 0.8780
4.9000 1.4000 0.8720
0.0000 1.5000 0.9000
0.1000 1.5000 0.9160
0.2000 1.5000 0.9260
0.3000 1.5000 0.9320
0.4000 1.5000 0.9120
0.5000 1.5000 0.9080
0.6000 1.5000 0.8860
0.7000 1.5000 0.8880
0.8000 1.5000 0.8840
0.9000 1.5000 0.8980
1.0000 1.5000 0.9100
1.1000 1.5000 0.9100
1.2000 1.5000 0.9240
1.3000 1.5000 0.9240
1.4000 1.5000 0.9240
1.5000 1.5000 0.9240
1.6000 1.5000 0.9180
1.7000 1.5000 0.9240
1.8000 1.5000 0.9260
1.9000 1.5000 0.9240
2.0000 1.5000 0.8960
2.1000 1.5000 0.8980
2.2000 1.5000 0.8980
2.3000 1.5000 0.8960
2.4000 1.5000 0.8900
2.5000 1.5000 0.8840
2.6000 1.5000 0.8780
2.7000 1.5000 0.8940
2.8000 1.5000 0.9080
2.9000 1.5000 0.9120
3.0000 1.5000 0.8980
3.1000 1.5000 0.8920
3.2000 1.5000 0.8880
3.3000 1.5000 0.8880
3.4000 1.5000 0.8920
3.5000 1.5000 0.8880
3.6000 1.5000 0.8920
3.7000 1.5000 0.8960
3.8000 1.5000 0.9080
3.9000 1.5000 0.9180
4.0000 1.5000 0.9120
4.1000 1.5000 0.9160
4.2000 1.5000 0.9320
4.3000 1.5000 0.9200
4.4000 1.5000 0.9160
4.5000 1.5000 0.9040
4.6000 1.5000 0.8940
4.7000 1.5000 0.8820
4.8000 1.5000 0.8920
4.9000 1.5000 0.8760
0.0000 1.6000 0.9080
0.1000 1.6000 0.9120
0.2000 1.6000 0.9260
0.3000 1.6000 0.9080
0.4000 1.6000 0.9020
0.5000 1.6000 0.9100
0.6000 1.6000 0.8980
0.7000 1.6000 0.8860
0.8000 1.6000 0.8840
0.9000 1.6000 0.8880
1.0000 1.6000 0.9080
1.1000 1.6000 0.9220
1.2000 1.6000 0.9220
1.3000 1.6000 0.9320
1.4000 1.6000 0.9480
1.5000 1.6000 0.9320
1.6000 1.6000 0.9160
1.7000 1.6000 0.9180
1.8000 1.6000 0.9220
1.9000 1.6000 0.9160
2.0000 1.6000 0.8920
2.1000 1.6000 0.8880
2.2000 1.6000 0.8900
2.3000 1.6000 0.8760
2.4000 1.6000 0.8880
2.5000 1.6000 0.8760
2.6000 1.6000 0.8880
2.7000 1.6000 0.8860
2.8000 1.6000 0.8960
2.9000 1.6000 0.9080
3.0000 1.6000 0.9000
3.1000 1.6000 0.8980
3.2000 1.6000 0.8860
3.3000 1.6000 0.8920
3.4000 1.6000 0.8880
3.5000 1.6000 0.8860
3.6000 1.6000 0.8860
3.7000 1.6000 0.9060
3.8000 1.6000 0.9100
3.9000 1.6000 0.9200
