# x, y, val
0.0000 0.0000 13.4287
0.1000 0.0000 13.3653
0.2000 0.0000 13.2896
0.3000 0.0000 13.2036
0.4000 0.0000 13.1075
0.5000 0.0000 13.0017
0.6000 0.0000 12.8872
0.7000 0.0000 12.7656
0.8000 0.0000 12.6394
0.9000 0.0000 12.5114
1.0000 0.0000 12.3844
1.1000 0.0000 12.2611
1.2000 0.0000 12.1486
1.3000 0.0000 12.0537
1.4000 0.0000 11.9822
1.5000 0.0000 11.9391
1.6000 0.0000 11.9282
1.7000 0.0000 11.9517
1.8000 0.0000 12.0102
1.9000 0.0000 12.1019
2.0000 0.0000 12.2218
2.1000 0.0000 12.3621
2.2000 0.0000 12.5221
2.3000 0.0000 12.6984
2.4000 0.0000 12.8849
2.5000 0.0000 13.0743
2.6000 0.0000 13.2587
2.7000 0.0000 13.4309
2.8000 0.0000 13.5846
2.9000 0.0000 13.7144
3.0000 0.0000 13.8135
3.1000 0.0000 13.8745
3.2000 0.0000 13.9076
3.3000 0.0000 13.9216
3.4000 0.0000 13.9215
3.5000 0.0000 13.9107
3.6000 0.0000 13.8916
3.7000 0.0000 13.8656
3.8000 0.0000 13.8338
3.9000 0.0000 13.7978
4.0000 0.0000 13.7613
4.1000 0.0000 13.7297
4.2000 0.0000 13.6998
4.3000 0.0000 13.6698
4.4000 0.0000 13.6399
4.5000 0.0000 13.6100
4.6000 0.0000 13.5800
4.7000 0.0000 13.5489
4.8000 0.0000 13.5152
4.9000 0.0000 13.4766
0.0000 0.1000 13.3649
0.1000 0.1000 13.2982
0.2000 0.1000 13.2202
0.3000 0.1000 13.1328
0.4000 0.1000 13.0363
0.5000 0.1000 12.9313
0.6000 0.1000 12.8188
0.7000 0.1000 12.7003
0.8000 0.1000 12.5782
0.9000 0.1000 12.4549
1.0000 0.1000 12.3331
1.1000 0.1000 12.2162
1.2000 0.1000 12.1101
1.3000 0.1000 12.0215
1.4000 0.1000 11.9559
1.5000 0.1000 11.9184
1.6000 0.1000 11.9125
1.7000 0.1000 11.9403
1.8000 0.1000 12.0023
1.9000 0.1000 12.0964
2.0000 0.1000 12.2180
2.1000 0.1000 12.3613
2.2000 0.1000 12.5237
2.3000 0.1000 12.7018
