# x, y, err
0.0000 0.0000 0.0418
0.1000 0.0000 0.0308
0.2000 0.0000 0.0144
0.3000 0.0000 -0.0166
0.4000 0.0000 0.0099
0.5000 0.0000 -0.0107
0.6000 0.0000 -0.0619
0.7000 0.0000 -0.0822
0.8000 0.0000 -0.1227
0.9000 0.0000 -0.0743
1.0000 0.0000 0.0401
1.1000 0.0000 0.1351
1.2000 0.0000 0.1421
1.3000 0.0000 0.1147
1.4000 0.0000 0.0504
1.5000 0.0000 0.0103
1.6000 0.0000 -0.0760
1.7000 0.0000 -0.1002
1.8000 0.0000 -0.0494
1.9000 0.0000 -0.0132
2.0000 0.0000 -0.0191
2.1000 0.0000 0.0080
2.2000 0.0000 -0.0026
2.3000 0.0000 -0.0027
2.4000 0.0000 0.0280
2.5000 0.0000 0.0395
2.6000 0.0000 0.0495
2.7000 0.0000 0.0480
2.8000 0.0000 0.0352
2.9000 0.0000 0.0302
3.0000 0.0000 0.0287
3.1000 0.0000 -0.0042
3.2000 0.0000 0.0100
3.3000 0.0000 0.0148
3.4000 0.0000 0.0783
3.5000 0.0000 0.1607
3.6000 0.0000 0.1827
3.7000 0.0000 0.1480
3.8000 0.0000 0.0731
3.9000 0.0000 0.0422
4.0000 0.0000 0.0299
4.1000 0.0000 0.0226
4.2000 0.0000 0.0075
4.3000 0.0000 0.0069
4.4000 0.0000 -0.0312
4.5000 0.0000 0.0119
4.6000 0.0000 0.1188
4.7000 0.0000 0.1331
4.8000 0.0000 0.1166
4.9000 0.0000 0.1119
0.0000 0.1000 0.1004
0.1000 0.1000 0.0776
0.2000 0.1000 0.0740
0.3000 0.1000 0.0235
0.4000 0.1000 -0.0203
0.5000 0.1000 -0.0292
0.6000 0.1000 -0.0356
0.7000 0.1000 -0.0768
0.8000 0.1000 -0.1128
0.9000 0.1000 -0.0995
1.0000 0.1000 0.0356
1.1000 0.1000 0.1381
1.2000 0.1000 0.1942
1.3000 0.1000 0.1356
1.4000 0.1000 0.0320
1.5000 0.1000 -0.0410
1.6000 0.1000 -0.0905
1.7000 0.1000 -0.0637
1.8000 0.1000 0.0052
1.9000 0.1000 0.0500
2.0000 0.1000 0.0248
2.1000 0.1000 0.0249
2.2000 0.1000 -0.0119
2.3000 0.1000 -0.0016
2.4000 0.1000 0.0388
2.5000 0.1000 0.0649
2.6000 0.1000 0.0750
2.7000 0.1000 0.0961
2.8000 0.1000 0.0759
2.9000 0.1000 0.0280
3.0000 0.1000 0.0162
3.1000 0.1000 -0.0540
3.2000 0.1000 -0.0587
3.3000 0.1000 0.0119
3.4000 0.1000 0.0508
3.5000 0.1000 0.0874
3.6000 0.1000 0.1071
3.7000 0.1000 0.1012
3.8000 0.1000 0.0928
3.9000 0.1000 0.1148
4.0000 0.1000 0.0459
4.1000 0.1000 -0.0182
4.2000 0.1000 -0.0224
4.3000 0.1000 -0.0029
4.4000 0.1000 -0.0092
4.5000 0.1000 0.0439
4.6000 0.1000 0.0889
4.7000 0.1000 0.0953
4.8000 0.1000 0.1169
4.9000 0.1000 0.1436
0.0000 0.2000 0.0992
0.1000 0.2000 0.1365
0.2000 0.2000 0.1422
0.3000 0.2000 0.1099
0.4000 0.2000 0.0289
0.5000 0.2000 -0.0069
0.6000 0.2000 -0.0552
0.7000 0.2000 -0.0645
0.8000 0.2000 -0.1163
0.9000 0.2000 -0.0995
1.0000 0.2000 0.0269
1.1000 0.2000 0.1230
1.2000 0.2000 0.1424
1.3000 0.2000 0.0926
1.4000 0.2000 0.0070
1.5000 0.2000 -0.0290
1.6000 0.2000 -0.0888
1.7000 0.2000 -0.0548
1.8000 0.2000 0.0655
1.9000 0.2000 0.1697
2.0000 0.2000 0.1583
2.1000 0.2000 0.1069
2.2000 0.2000 0.0242
2.3000 0.2000 -0.0231
2.4000 0.2000 -0.0027
2.5000 0.2000 0.0187
2.6000 0.2000 0.0371
2.7000 0.2000 0.0804
2.8000 0.2000 0.0607
2.9000 0.2000 -0.0203
3.0000 0.2000 -0.0152
3.1000 0.2000 -0.0322
3.2000 0.2000 -0.0460
3.3000 0.2000 0.0037
3.4000 0.2000 0.0371
3.5000 0.2000 0.0232
3.6000 0.2000 -0.0110
3.7000 0.2000 0.0257
3.8000 0.2000 0.0426
3.9000 0.2000 0.0731
4.0000 0.2000 0.0182
4.1000 0.2000 -0.0334
4.2000 0.2000 -0.0202
4.3000 0.2000 -0.0219
4.4000 0.2000 0.0061
4.5000 0.2000 0.0261
4.6000 0.2000 0.0857
4.7000 0.2000 0.0440
4.8000 0.2000 0.0701
4.9000 0.2000 0.1059
0.0000 0.3000 0.0959
0.1000 0.3000 0.1665
0.2000 0.3000 0.1286
0.3000 0.3000 0.0987
0.4000 0.3000 0.0664
0.5000 0.3000 0.0136
0.6000 0.3000 0.0208
0.7000 0.3000 -0.0309
0.8000 0.3000 -0.1030
0.9000 0.3000 -0.0934
1.0000 0.3000 0.0238
1.1000 0.3000 0.1618
1.2000 0.3000 0.1707
1.3000 0.3000 0.0998
1.4000 0.3000 -0.0250
1.5000 0.3000 -0.0790
1.6000 0.3000 -0.0862
1.7000 0.3000 -0.0152
1.8000 0.3000 0.1304
1.9000 0.3000 0.1944
2.0000 0.3000 0.1745
2.1000 0.3000 0.1035
2.2000 0.3000 0.0514
2.3000 0.3000 -0.0467
2.4000 0.3000 -0.0708
2.5000 0.3000 -0.1011
2.6000 0.3000 -0.0529
2.7000 0.3000 0.0339
2.8000 0.3000 0.0528
2.9000 0.3000 -0.0134
3.0000 0.3000 -0.0178
3.1000 0.3000 0.0333
3.2000 0.3000 0.0315
3.3000 0.3000 0.0233
3.4000 0.3000 0.0063
3.5000 0.3000 -0.0164
3.6000 0.3000 -0.0761
3.7000 0.3000 -0.0830
3.8000 0.3000 -0.0031
3.9000 0.3000 0.0030
4.0000 0.3000 -0.0521
4.1000 0.3000 -0.0764
