# x, y, err
0.0000 0.0000 0.0101
0.1000 0.0000 0.0104
0.2000 0.0000 0.0104
0.3000 0.0000 0.0104
0.4000 0.0000 0.0166
0.5000 0.0000 0.0104
0.6000 0.0000 0.0255
0.7000 0.0000 0.0221
0.8000 0.0000 0.0117
0.9000 0.0000 0.0153
1.0000 0.0000 0.0305
1.1000 0.0000 0.0383
1.2000 0.0000 0.0462
1.3000 0.0000 0.0413
1.4000 0.0000 0.0230
1.5000 0.0000 0.0158
1.6000 0.0000 -0.0041
1.7000 0.0000 -0.0063
1.8000 0.0000 -0.0053
1.9000 0.0000 -0.0028
2.0000 0.0000 -0.0104
2.1000 0.0000 -0.0019
2.2000 0.0000 0.0034
2.3000 0.0000 0.0126
2.4000 0.0000 0.0243
2.5000 0.0000 0.0448
2.6000 0.0000 0.0439
2.7000 0.0000 0.0428
2.8000 0.0000 0.0496
2.9000 0.0000 0.0415
3.0000 0.0000 0.0364
3.1000 0.0000 0.0507
3.2000 0.0000 0.0763
3.3000 0.0000 0.0936
3.4000 0.0000 0.0883
3.5000 0.0000 0.0790
3.6000 0.0000 0.0730
3.7000 0.0000 0.0654
3.8000 0.0000 0.0469
3.9000 0.0000 0.0254
4.0000 0.0000 0.0169
4.1000 0.0000 0.0274
4.2000 0.0000 0.0268
4.3000 0.0000 0.0287
4.4000 0.0000 0.0370
4.5000 0.0000 0.0501
4.6000 0.0000 0.0537
4.7000 0.0000 0.0406
4.8000 0.0000 0.0272
4.9000 0.0000 0.0176
0.0000 0.1000 0.0217
0.1000 0.1000 0.0217
0.2000 0.1000 0.0199
0.3000 0.1000 0.0130
0.4000 0.1000 0.0257
0.5000 0.1000 0.0226
0.6000 0.1000 0.0345
0.7000 0.1000 0.0327
0.8000 0.1000 0.0273
0.9000 0.1000 0.0295
1.0000 0.1000 0.0395
1.1000 0.1000 0.0496
1.2000 0.1000 0.0539
1.3000 0.1000 0.0335
1.4000 0.1000 0.0190
1.5000 0.1000 -0.0025
1.6000 0.1000 -0.0163
1.7000 0.1000 -0.0140
1.8000 0.1000 -0.0139
1.9000 0.1000 -0.0168
2.0000 0.1000 -0.0215
2.1000 0.1000 -0.0173
2.2000 0.1000 -0.0021
2.3000 0.1000 0.0049
2.4000 0.1000 0.0145
2.5000 0.1000 0.0195
2.6000 0.1000 0.0278
2.7000 0.1000 0.0256
2.8000 0.1000 0.0363
2.9000 0.1000 0.0301
3.0000 0.1000 0.0292
3.1000 0.1000 0.0428
3.2000 0.1000 0.0610
3.3000 0.1000 0.0757
3.4000 0.1000 0.0759
3.5000 0.1000 0.0710
3.6000 0.1000 0.0757
3.7000 0.1000 0.0606
