# x, y, err
0.0000 0.0000 0.0106
0.1000 0.0000 0.0042
0.2000 0.0000 0.0113
0.3000 0.0000 0.0208
0.4000 0.0000 0.0163
0.5000 0.0000 0.0276
0.6000 0.0000 0.0342
0.7000 0.0000 0.0232
0.8000 0.0000 0.0077
0.9000 0.0000 -0.0062
1.0000 0.0000 -0.0174
1.1000 0.0000 -0.0041
1.2000 0.0000 0.0086
1.3000 0.0000 0.0147
1.4000 0.0000 0.0249
1.5000 0.0000 0.0186
1.6000 0.0000 0.0070
1.7000 0.0000 0.0047
1.8000 0.0000 -0.0021
1.9000 0.0000 0.0076
2.0000 0.0000 -0.0053
2.1000 0.0000 0.0004
2.2000 0.0000 0.0163
2.3000 0.0000 0.0308
2.4000 0.0000 0.0382
2.5000 0.0000 0.0450
2.6000 0.0000 0.0371
2.7000 0.0000 0.0147
2.8000 0.0000 -0.0157
2.9000 0.0000 -0.0179
3.0000 0.0000 0.0010
3.1000 0.0000 0.0096
3.2000 0.0000 0.0405
3.3000 0.0000 0.0742
3.4000 0.0000 0.0840
3.5000 0.0000 0.0849
3.6000 0.0000 0.0831
3.7000 0.0000 0.0910
3.8000 0.0000 0.0609
3.9000 0.0000 0.0211
4.0000 0.0000 0.0054
4.1000 0.0000 0.0237
4.2000 0.0000 0.0595
4.3000 0.0000 0.0790
4.4000 0.0000 0.0829
4.5000 0.0000 0.0650
4.6000 0.0000 0.0499
4.7000 0.0000 0.0316
4.8000 0.0000 0.0297
4.9000 0.0000 0.0228
0.0000 0.1000 0.0209
0.1000 0.1000 0.0218
0.2000 0.1000 0.0297
0.3000 0.1000 0.0358
0.4000 0.1000 0.0415
0.5000 0.1000 0.0436
0.6000 0.1000 0.0503
0.7000 0.1000 0.0275
0.8000 0.1000 0.0156
0.9000 0.1000 0.0097
1.0000 0.1000 -0.0020
1.1000 0.1000 0.0091
1.2000 0.1000 0.0179
1.3000 0.1000 0.0134
1.4000 0.1000 0.0189
1.5000 0.1000 0.0032
1.6000 0.1000 -0.0049
1.7000 0.1000 -0.0334
1.8000 0.1000 -0.0298
