# x, y, val
0.0000 0.0000 11.2652
0.1000 0.0000 11.1430
0.2000 0.0000 11.1139
0.3000 0.0000 11.1473
0.4000 0.0000 11.2981
0.5000 0.0000 11.5675
0.6000 0.0000 11.9209
0.7000 0.0000 12.2656
0.8000 0.0000 12.6061
0.9000 0.0000 12.9873
1.0000 0.0000 13.4077
1.1000 0.0000 13.7585
1.2000 0.0000 13.9833
1.3000 0.0000 14.1503
1.4000 0.0000 14.1697
1.5000 0.0000 14.2505
1.6000 0.0000 14.2959
1.7000 0.0000 14.3038
1.8000 0.0000 14.2828
1.9000 0.0000 14.1807
2.0000 0.0000 14.0574
2.1000 0.0000 13.9530
2.2000 0.0000 13.8403
2.3000 0.0000 13.7032
2.4000 0.0000 13.5372
2.5000 0.0000 13.4079
2.6000 0.0000 13.3933
2.7000 0.0000 13.4981
2.8000 0.0000 13.5717
2.9000 0.0000 13.5695
3.0000 0.0000 13.5312
3.1000 0.0000 13.3866
3.2000 0.0000 13.2603
3.3000 0.0000 13.2942
3.4000 0.0000 13.2035
3.5000 0.0000 13.0861
3.6000 0.0000 13.0269
3.7000 0.0000 12.8482
3.8000 0.0000 12.6195
3.9000 0.0000 12.3847
4.0000 0.0000 12.2710
4.1000 0.0000 12.2442
4.2000 0.0000 12.2030
4.3000 0.0000 12.1775
4.4000 0.0000 12.1434
4.5000 0.0000 12.0654
4.6000 0.0000 11.9296
4.7000 0.0000 11.7731
4.8000 0.0000 11.5721
4.9000 0.0000 11.4401
0.0000 0.1000 11.4156
0.1000 0.1000 11.2970
0.2000 0.1000 11.2057
0.3000 0.1000 11.3010
0.4000 0.1000 11.4706
0.5000 0.1000 11.6797
0.6000 0.1000 11.9917
0.7000 0.1000 12.2779
0.8000 0.1000 12.6635
0.9000 0.1000 13.1309
1.0000 0.1000 13.4627
1.1000 0.1000 13.7466
1.2000 0.1000 14.0376
1.3000 0.1000 14.1472
1.4000 0.1000 14.2518
1.5000 0.1000 14.3820
1.6000 0.1000 14.4407
1.7000 0.1000 14.3750
1.8000 0.1000 14.3418
1.9000 0.1000 14.3500
2.0000 0.1000 14.2844
2.1000 0.1000 14.2117
2.2000 0.1000 14.1196
2.3000 0.1000 13.9530
2.4000 0.1000 13.8401
2.5000 0.1000 13.7200
2.6000 0.1000 13.7028
2.7000 0.1000 13.7203
2.8000 0.1000 13.6769
2.9000 0.1000 13.6598
3.0000 0.1000 13.5741
3.1000 0.1000 13.4573
3.2000 0.1000 13.4227
3.3000 0.1000 13.3994
3.4000 0.1000 13.2985
3.5000 0.1000 13.1295
3.6000 0.1000 13.0434
3.7000 0.1000 12.8861
3.8000 0.1000 12.6850
3.9000 0.1000 12.4695
4.0000 0.1000 12.3881
4.1000 0.1000 12.3841
4.2000 0.1000 12.3030
4.3000 0.1000 12.2568
4.4000 0.1000 12.2514
4.5000 0.1000 12.1340
4.6000 0.1000 12.0063
4.7000 0.1000 11.8470
4.8000 0.1000 11.6926
4.9000 0.1000 11.5611
0.0000 0.2000 11.5692
0.1000 0.2000 11.4873
0.2000 0.2000 11.3578
0.3000 0.2000 11.4080
0.4000 0.2000 11.6364
0.5000 0.2000 11.8399
0.6000 0.2000 12.1083
0.7000 0.2000 12.3917
0.8000 0.2000 12.7957
0.9000 0.2000 13.1948
1.0000 0.2000 13.5668
1.1000 0.2000 13.8476
1.2000 0.2000 14.1039
1.3000 0.2000 14.2314
1.4000 0.2000 14.4333
1.5000 0.2000 14.5862
1.6000 0.2000 14.6562
1.7000 0.2000 14.6582
1.8000 0.2000 14.5953
1.9000 0.2000 14.5442
2.0000 0.2000 14.5258
2.1000 0.2000 14.4761
2.2000 0.2000 14.3607
2.3000 0.2000 14.2404
2.4000 0.2000 14.0346
2.5000 0.2000 13.9355
2.6000 0.2000 13.9053
2.7000 0.2000 13.8734
2.8000 0.2000 13.8259
2.9000 0.2000 13.7975
3.0000 0.2000 13.7596
3.1000 0.2000 13.6561
3.2000 0.2000 13.6396
3.3000 0.2000 13.5793
3.4000 0.2000 13.4475
3.5000 0.2000 13.3113
3.6000 0.2000 13.1153
3.7000 0.2000 12.9876
